"allele_name","gene_family","consensus_gene_name","consensus_product","threshold","alleles_at_maximum_threshold","number_genomes","average_dose","min_dose","max_dose","genomes_containing_fissions","genomes_containing_duplications","number_fission_loci","number_duplicated_loci","no_loci","products","gene_names","min_length.bp.","max_length.bp.","average_length.bp.","cluster","cluster_order","CG475","CG988","AB3","AT6","CG415","CG102","CG412","ICMP10754","SBV_10752","CG1000","K306","NCPPB3554","CG516"
"g000328_1_000007","g000328_1","ftsI","putative peptidoglycan D%2CD-transpeptidase FtsI",70,22,311,1,1,2,0,1,0,1,312,"putative peptidoglycan D%2CD-transpeptidase FtsI(311):hypothetical protein(1)","ftsI(311):NA(1)",144,1755,1737.09,2,3,"CG475_03803","CG988_02527","AB3_00881","AT6_00687","CG415_01622","CG102_02203","CG412_04476","ICMP10754_04979","SBV_10752_04839","CG1000_01846","K306_01032","NCPPB3554_01306","CG516_04946"
"g001168_000002","g001168","murE","UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2%2C6-diaminopimelate ligase",70,40,311,1,1,1,0,0,0,0,311,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2%2C6-diaminopimelate ligase(311)","murE(311)",1302,1470,1463.41,2,4,"CG475_03802","CG988_02528","AB3_00880","AT6_00686","CG415_01623","CG102_02204","CG412_04475","ICMP10754_04980","SBV_10752_04840","CG1000_01845","K306_01033","NCPPB3554_01307","CG516_04945"
"g002659_000001","g002659","murF","UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase",60,27,311,1,1,1,0,0,0,0,311,"UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase(311)","murF(311)",1407,1461,1427.05,2,5,"CG475_03801","CG988_02529","AB3_00879","AT6_00685","CG415_01624","CG102_02205","CG412_04474","ICMP10754_04981","SBV_10752_04841","CG1000_01844","K306_01034","NCPPB3554_01308","CG516_04944"
"g005745_000003","g005745","mraY","Phospho-N-acetylmuramoyl-pentapeptide-transferase",80,13,311,1,1,1,0,0,0,0,311,"Phospho-N-acetylmuramoyl-pentapeptide-transferase(311)","mraY(311)",1101,1122,1107.58,2,6,"CG475_03800","CG988_02530","AB3_00878","AT6_00684","CG415_01625","CG102_02206","CG412_04473","ICMP10754_04982","SBV_10752_04842","CG1000_01843","K306_01035","NCPPB3554_01309","CG516_04943"
"g000775_000002","g000775","murD","UDP-N-acetylmuramoylalanine--D-glutamate ligase",70,47,311,1,1,1,0,0,0,0,311,"UDP-N-acetylmuramoylalanine--D-glutamate ligase(311)","murD(311)",1407,1596,1418.61,2,7,"CG475_03799","CG988_02531","AB3_00877","AT6_00683","CG415_01626","CG102_02207","CG412_04472","ICMP10754_04983","SBV_10752_04843","CG1000_01842","K306_01036","NCPPB3554_01310","CG516_04942"
"g005025_1_000003","g005025_1","ftsW","putative peptidoglycan glycosyltransferase FtsW",70,14,311,1,1,1,0,0,0,0,311,"putative peptidoglycan glycosyltransferase FtsW(311)","ftsW(311)",465,1158,1152.79,2,8,"CG475_03798","CG988_02532","AB3_00876","AT6_00682","CG415_01627","CG102_02208","CG412_04471","ICMP10754_04984","SBV_10752_04844","CG1000_01841","K306_01037","NCPPB3554_01311","CG516_04941"
"g001766_000002","g001766","murG","UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase",70,32,311,1,1,1,1,0,1,0,311,"UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase(312)","murG(312)",312,1140,1127.62,2,9,"CG475_03797","CG988_02533","AB3_00875","AT6_00681","CG415_01628","CG102_02209","CG412_04470","ICMP10754_04985","SBV_10752_04845","CG1000_01840","K306_01038","NCPPB3554_01312","CG516_04940"
"g004519_000003","g004519","murC","UDP-N-acetylmuramate--L-alanine ligase",80,15,311,1,1,1,0,0,0,0,311,"UDP-N-acetylmuramate--L-alanine ligase(311)","murC(311)",1389,1446,1416.02,2,10,"CG475_03796","CG988_02534","AB3_00874","AT6_00680","CG415_01629","CG102_02210","CG412_04469","ICMP10754_04986","SBV_10752_04846","CG1000_01839","K306_01039","NCPPB3554_01313","CG516_04939"
"g003732_000003","g003732","murB","UDP-N-acetylenolpyruvoylglucosamine reductase",80,19,311,1,1,1,0,0,0,0,311,"UDP-N-acetylenolpyruvoylglucosamine reductase(311)","murB(311)",966,975,969.94,2,11,"CG475_03795","CG988_02535","AB3_00873","AT6_00679","CG415_01630","CG102_02211","CG412_04468","ICMP10754_04987","SBV_10752_04847","CG1000_01838","K306_01040","NCPPB3554_01314","CG516_04938"
"g003127_000002","g003127",NA,"hypothetical protein",70,25,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",294,354,297.47,3,1,"CG475_02367","CG988_05380","AB3_04007","AT6_03908","CG415_01516","CG102_04869","CG412_02422","ICMP10754_03003","SBV_10752_03439","CG1000_00368","K306_01744","NCPPB3554_02968","CG516_02896"
"g000002_000006","g000002","rpsL","30S ribosomal protein S12",98,1,311,1,1,1,0,0,0,0,311,"30S ribosomal protein S12(311)","rpsL(311)",372,372,372,3,2,"CG475_02368","CG988_05379","AB3_04006","AT6_03907","CG415_01517","CG102_04868","CG412_02423","ICMP10754_03004","SBV_10752_03438","CG1000_00369","K306_01743","NCPPB3554_02969","CG516_02895"
"g009525_000004","g009525","rpsG","30S ribosomal protein S7",90,7,311,1,1,1,0,0,0,0,311,"30S ribosomal protein S7(311)","rpsG(311)",393,471,470.75,3,3,"CG475_02369","CG988_05378","AB3_04005","AT6_03906","CG415_01518","CG102_04867","CG412_02424","ICMP10754_03005","SBV_10752_03437","CG1000_00370","K306_01742","NCPPB3554_02970","CG516_02894"
"g007880_000004","g007880","fusA","Elongation factor G",90,7,311,1,1,1,0,0,0,0,311,"Elongation factor G(311)","fusA(311)",2100,2100,2100,3,4,"CG475_02370","CG988_05377","AB3_04004","AT6_03905","CG415_01519","CG102_04866","CG412_02425","ICMP10754_03006","SBV_10752_03436","CG1000_00371","K306_01741","NCPPB3554_02971","CG516_02893"
"g000001_000006","g000001","rpsJ","30S ribosomal protein S10",98,1,311,1,1,1,0,0,0,0,311,"30S ribosomal protein S10(311)","rpsJ(311)",309,309,309,3,5,"CG475_02372","CG988_05375","AB3_02234","AT6_01979","CG415_01521","CG102_04864","CG412_02427","ICMP10754_01989","SBV_10752_03992","CG1000_00373","K306_01739","NCPPB3554_02973","CG516_02891"
"g005427_000003","g005427","rplC","50S ribosomal protein L3",80,13,311,1,1,1,1,0,1,0,311,"50S ribosomal protein L3(312)","rplC(312)",270,642,639.61,3,6,"CG475_02373","CG988_05374","AB3_02233","AT6_01980","CG415_01522","CG102_04863","CG412_02428","ICMP10754_01990","SBV_10752_03993","CG1000_00374","K306_01738","NCPPB3554_02974","CG516_02890"
"g006439_000003","g006439","rplD","50S ribosomal protein L4",80,11,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L4(311)","rplD(311)",519,621,620.34,3,7,"CG475_02374","CG988_05373","AB3_02232","AT6_01981","CG415_01523","CG102_04862","CG412_02429","ICMP10754_01991","SBV_10752_03994","CG1000_00375","K306_01737","NCPPB3554_02975","CG516_02889"
"g009612_000003","g009612","rplW","50S ribosomal protein L23",80,7,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L23(311)","rplW(311)",294,294,294,3,8,"CG475_02375","CG988_05372","AB3_02231","AT6_01982","CG415_01524","CG102_04861","CG412_02430","ICMP10754_01992","SBV_10752_03995","CG1000_00376","K306_01736","NCPPB3554_02976","CG516_02888"
"g007119_000004","g007119","rplB","50S ribosomal protein L2",90,10,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L2(311)","rplB(311)",837,837,837,3,9,"CG475_02376","CG988_05371","AB3_02230","AT6_01983","CG415_01525","CG102_04860","CG412_02431","ICMP10754_01993","SBV_10752_03996","CG1000_00377","K306_01735","NCPPB3554_02977","CG516_02887"
"g007797_000004","g007797","rpsS","30S ribosomal protein S19",90,9,311,1,1,1,0,0,0,0,311,"30S ribosomal protein S19(311)","rpsS(311)",279,279,279,3,10,"CG475_02377","CG988_05370","AB3_02229","AT6_01984","CG415_01526","CG102_04859","CG412_02432","ICMP10754_01994","SBV_10752_03997","CG1000_00378","K306_01734","NCPPB3554_02978","CG516_02886"
"g000403_000001","g000403","mnmG","tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG",60,57,311,1,1,1,3,0,3,0,311,"tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG(311):Ribosomal RNA small subunit methyltransferase G(3)","mnmG(311):rsmG(3)",618,2508,1871.37,4,1,"CG475_03985","CG988_01142","AB3_03924","AT6_02606","CG415_04432","CG102_00348","CG412_03418","ICMP10754_03151","SBV_10752_03591","CG1000_04600","K306_03247","NCPPB3554_04123","CG516_03623"
"g000098","g000098","mnmE","tRNA modification GTPase MnmE",50,84,311,1,1,1,0,0,0,0,311,"tRNA modification GTPase MnmE(311)","mnmE(311)",1146,1338,1326.3,4,2,"CG475_03984","CG988_01143","AB3_03925","AT6_02604","CG415_04431","CG102_00349","CG412_03419","ICMP10754_03150","SBV_10752_03590","CG1000_04601","K306_03246","NCPPB3554_04122","CG516_03622"
"g009870_000005","g009870","rho","Transcription termination factor Rho",95,5,311,1,1,1,0,0,0,0,311,"Transcription termination factor Rho(311)","rho(311)",1266,1395,1268.5,4,3,"CG475_03983","CG988_01144","AB3_03926","AT6_02603","CG415_04430","CG102_00350","CG412_03420","ICMP10754_03149","SBV_10752_03589","CG1000_04602","K306_03245","NCPPB3554_04121","CG516_03621"
"g000085","g000085","hemE","Uroporphyrinogen decarboxylase",50,86,311,1,1,1,310,0,310,0,311,"Uroporphyrinogen decarboxylase(311):hypothetical protein(310)","hemE(311):NA(310)",483,1575,792.74,4,4,"(CG475_03981:CG475_03982)","(CG988_01145:CG988_01146)","(AB3_03927:AB3_03928)","(AT6_02601:AT6_02602)","(CG415_04428:CG415_04429)","(CG102_00351:CG102_00352)","(CG412_03421:CG412_03422)","(ICMP10754_03147:ICMP10754_03148)","(SBV_10752_03587:SBV_10752_03588)","(CG1000_04603:CG1000_04604)","(K306_03243:K306_03244)","(NCPPB3554_04119:NCPPB3554_04120)","(CG516_03619:CG516_03620)"
"g003786_000002","g003786","yqfL","Putative pyruvate%2C phosphate dikinase regulatory protein",70,21,311,1,1,1,0,0,0,0,311,"Putative pyruvate%2C phosphate dikinase regulatory protein(311)","yqfL(311)",663,885,812.38,4,5,"CG475_03980","CG988_01147","AB3_03929","AT6_02600","CG415_04427","CG102_00353","CG412_03423","ICMP10754_03146","SBV_10752_03586","CG1000_04605","K306_03242","NCPPB3554_04118","CG516_03618"
"g000157","g000157","maf","Septum formation protein Maf",50,59,311,1,1,1,0,0,0,0,311,"Septum formation protein Maf(176):Maf-like protein YceF(133):Maf-like protein YhdE(2)","maf(176):yceF(133):yhdE(2)",600,600,600,4,6,"CG475_03979","CG988_01148","AB3_03930","AT6_02599","CG415_04426","CG102_00354","CG412_03424","ICMP10754_03145","SBV_10752_03585","CG1000_04606","K306_03241","NCPPB3554_04117","CG516_03617"
"g000297_000001","g000297","aroE","Shikimate dehydrogenase (NADP(+))",60,64,311,1,1,1,0,0,0,0,311,"Shikimate dehydrogenase (NADP(+))(311)","aroE(311)",858,864,861.1,4,7,"CG475_03978","CG988_01149","AB3_03931","AT6_02598","CG415_04425","CG102_00355","CG412_03425","ICMP10754_03144","SBV_10752_03584","CG1000_04607","K306_03240","NCPPB3554_04116","CG516_03616"
"g000165","g000165","coaE","Dephospho-CoA kinase",50,74,311,1,1,1,0,0,0,0,311,"Dephospho-CoA kinase(311)","coaE(311)",582,618,604.82,4,8,"CG475_03977","CG988_01150","AB3_03932","AT6_02597","CG415_04424","CG102_00356","CG412_03426","ICMP10754_03143","SBV_10752_03583","CG1000_04608","K306_03239","NCPPB3554_04115","CG516_03615"
"g001374_000002","g001374","dnaQ","DNA polymerase III subunit epsilon",70,37,311,1,1,1,4,0,4,0,311,"DNA polymerase III subunit epsilon(305):DNA polymerase III PolC-type(10)","dnaQ(305):polC(10)",345,717,695.85,4,9,"CG475_03976","CG988_01151","AB3_03933","AT6_02596","CG415_04423","CG102_00357","CG412_03427","ICMP10754_03142","SBV_10752_03582","CG1000_04609","K306_03238","NCPPB3554_04114","CG516_03614"
"g004610_000003","g004610","secB","Protein-export protein SecB",80,17,311,1,1,1,0,0,0,0,311,"Protein-export protein SecB(311)","secB(311)",462,483,478.8,4,10,"CG475_03975","CG988_01152","AB3_03934","AT6_02595","CG415_04422","CG102_00358","CG412_03428","ICMP10754_03141","SBV_10752_03581","CG1000_04610","K306_03237","NCPPB3554_04113","CG516_03613"
"g007166_000004","g007166","rplU","50S ribosomal protein L21",90,10,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L21(311)","rplU(311)",315,318,315.79,5,1,"CG475_04075","CG988_00478","AB3_03838","AT6_02692","CG415_04520","CG102_00261","CG412_03332","ICMP10754_03237","SBV_10752_03677","CG1000_04514","K306_03334","NCPPB3554_04210","CG516_03714"
"g006207_000003","g006207","rpmA","50S ribosomal protein L27",80,12,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L27(311)","rpmA(311)",270,273,270.49,5,2,"CG475_04076","CG988_00479","AB3_03837","AT6_02693","CG415_04521","CG102_00260","CG412_03331","ICMP10754_03238","SBV_10752_03678","CG1000_04513","K306_03335","NCPPB3554_04211","CG516_03715"
"g004851_000002","g004851",NA,"hypothetical protein",70,16,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",633,639,633.85,5,3,"CG475_04077","CG988_00480","AB3_03836","AT6_02694","CG415_04522","CG102_00259","CG412_03330","ICMP10754_03239","SBV_10752_03679","CG1000_04512","K306_03336","NCPPB3554_04212","CG516_03716"
"g000458","g000458",NA,"hypothetical protein",50,56,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",570,636,589.56,5,4,"CG475_04078","CG988_00481","AB3_03835","AT6_02695","CG415_04523","CG102_00258","CG412_03329","ICMP10754_03240","SBV_10752_03680","CG1000_04511","K306_03337","NCPPB3554_04213","CG516_03717"
"g004323_000003","g004323","cgtA","GTPase Obg/CgtA",80,18,311,1,1,1,0,0,0,0,311,"GTPase Obg/CgtA(311)","cgtA(311)",1065,1140,1089.08,5,5,"CG475_04080","CG988_00483","AB3_03833","AT6_02697","CG415_04525","CG102_00256","CG412_03327","ICMP10754_03242","SBV_10752_03682","CG1000_04509","K306_03339","NCPPB3554_04215","CG516_03719"
"g003175_000003","g003175","proB","Glutamate 5-kinase",80,24,311,1,1,1,0,0,0,0,311,"Glutamate 5-kinase(311)","proB(311)",1170,1182,1172.04,5,6,"CG475_04081","CG988_00484","AB3_03832","AT6_02698","CG415_04526","CG102_00255","CG412_03326","ICMP10754_03243","SBV_10752_03683","CG1000_04508","K306_03340","NCPPB3554_04216","CG516_03720"
"g000745_000002","g000745","proA","Gamma-glutamyl phosphate reductase",70,48,311,1,1,1,0,0,0,0,311,"Gamma-glutamyl phosphate reductase(311)","proA(311)",1284,1287,1285.69,5,7,"CG475_04082","CG988_00485","AB3_03831","AT6_02699","CG415_04527","CG102_00254","CG412_03325","ICMP10754_03244","SBV_10752_03684","CG1000_04507","K306_03341","NCPPB3554_04217","CG516_03721"
"g001901_000002","g001901","nadD","nicotinate-nucleotide adenylyltransferase",70,32,311,1,1,1,0,0,0,0,311,"nicotinate-nucleotide adenylyltransferase(311)","nadD(311)",561,660,614.62,5,8,"CG475_04083","CG988_00486","AB3_03830","AT6_02700","CG415_04528","CG102_00253","CG412_03324","ICMP10754_03245","SBV_10752_03685","CG1000_04506","K306_03342","NCPPB3554_04218","CG516_03722"
"g000376","g000376","modA","Molybdate-binding protein ModA",50,60,311,1,1,1,0,0,0,0,311,"Molybdate-binding protein ModA(311)","modA(311)",738,819,797.56,5,9,"CG475_02981","CG988_04231","AB3_01522","AT6_03560","CG415_04201","CG102_03649","CG412_01786","ICMP10754_01366","SBV_10752_00624","CG1000_04186","K306_02382","NCPPB3554_02321","CG516_05480"
"g002153_1_000003","g002153_1","modB","Molybdenum transport system permease protein ModB",70,30,311,1,1,1,0,0,0,0,311,"Molybdenum transport system permease protein ModB(311)","modB(311)",693,759,701.92,5,10,"CG475_02982","CG988_04230","AB3_01521","AT6_03561","CG415_04200","CG102_03650","CG412_01787","ICMP10754_01367","SBV_10752_00623","CG1000_04187","K306_02381","NCPPB3554_02322","CG516_05481"
"g000925_000003","g000925",NA,"hypothetical protein",80,44,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",1134,1356,1294.04,6,1,"CG475_00650","CG988_01838","AB3_04202","AT6_05481","CG415_05361","CG102_01984","CG412_03630","ICMP10754_04171","SBV_10752_00915","CG1000_03872","K306_04527","NCPPB3554_00335","CG516_02496"
"g001036_000003","g001036","hcaB","3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase",80,42,311,1,1,1,1,0,1,0,311,"3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase(310):hypothetical protein(2)","hcaB(310):NA(2)",261,2112,2089.38,6,2,"CG475_00649","CG988_01837","AB3_04201","AT6_05482","CG415_05362","CG102_01983","CG412_03631","ICMP10754_04172","SBV_10752_00916","CG1000_03873","K306_04526","NCPPB3554_00336","CG516_02497"
"g003902_000003","g003902","ulaR","HTH-type transcriptional regulator UlaR",80,15,311,1,1,1,1,0,1,0,311,"HTH-type transcriptional regulator UlaR(311):hypothetical protein(1)","ulaR(311):NA(1)",297,831,820.45,6,3,"CG475_00648","CG988_01836","AB3_04200","AT6_05483","CG415_05363","CG102_01982","CG412_03632","ICMP10754_04173","SBV_10752_00917","CG1000_03874","K306_04525","NCPPB3554_00337","CG516_02498"
"g004585_000003","g004585","lsrB","Autoinducer 2-binding protein LsrB",80,17,311,1,1,2,0,1,0,1,312,"Autoinducer 2-binding protein LsrB(311):hypothetical protein(1)","lsrB(311):NA(1)",246,1011,1002.01,6,4,"CG475_00647","CG988_01835","AB3_04199","AT6_05484","CG415_05364","CG102_01981","CG412_03633","ICMP10754_04174","SBV_10752_00918","CG1000_03875","K306_04524","NCPPB3554_00338","CG516_02499"
"g000355_1_000023","g000355_1","rbsA","Ribose import ATP-binding protein RbsA",80,48,311,1,1,1,3,0,3,0,311,"Ribose import ATP-binding protein RbsA(311):hypothetical protein(3)","rbsA(311):NA(3)",288,1599,1506.69,6,5,"CG475_00646","CG988_01834","AB3_04198","AT6_05485","CG415_05365","CG102_01980","CG412_03634","ICMP10754_04175","SBV_10752_00919","CG1000_03876","K306_04523","NCPPB3554_00339","CG516_02500"
"g001785_000002","g001785","rbsC","Ribose import permease protein RbsC",70,34,311,1,1,1,0,0,0,0,311,"Ribose import permease protein RbsC(263):D-allose transport system permease protein AlsC(46):Autoinducer 2 import system permease protein LsrC(2)","rbsC(263):alsC(46):lsrC(2)",993,1008,1002.74,6,6,"CG475_00645","CG988_01833","AB3_04197","AT6_05486","CG415_05366","CG102_01979","CG412_03635","ICMP10754_04176","SBV_10752_00920","CG1000_03877","K306_04522","NCPPB3554_00340","CG516_02501"
"g002265_000003","g002265","lsrD","Autoinducer 2 import system permease protein LsrD",80,30,311,1,1,1,1,0,1,0,311,"Autoinducer 2 import system permease protein LsrD(311):hypothetical protein(1)","lsrD(311):NA(1)",309,1017,1008.64,6,7,"CG475_00644","CG988_01832","AB3_04196","AT6_05487","CG415_05367","CG102_01978","CG412_03636","ICMP10754_04177","SBV_10752_00921","CG1000_03878","K306_04521","NCPPB3554_00341","CG516_02502"
"g000401_000002","g000401","rhaM","L-rhamnose mutarotase",70,58,311,1,1,1,0,0,0,0,311,"L-rhamnose mutarotase(311)","rhaM(311)",324,327,324.79,6,8,"CG475_00643","CG988_01831","AB3_04195","AT6_05488","CG415_05368","CG102_01977","CG412_03637","ICMP10754_04178","SBV_10752_00922","CG1000_03879","K306_04520","NCPPB3554_00342","CG516_02503"
"g000089","g000089","fucK","L-fuculokinase",50,85,311,1,1,2,0,1,0,1,312,"L-fuculokinase(225):Rhamnulokinase(85):hypothetical protein(2)","fucK(225):rhaB(85):NA(2)",267,1425,1385.82,6,9,"CG475_00642","CG988_01830","AB3_04194","AT6_05489","CG415_05369","CG102_01976","CG412_03638","ICMP10754_04179","SBV_10752_00923","CG1000_03880","K306_04519","NCPPB3554_00343","CG516_02504"
"g004193_000003","g004193","mmgB","putative 3-hydroxybutyryl-CoA dehydrogenase",80,19,311,1,1,1,0,0,0,0,311,"putative 3-hydroxybutyryl-CoA dehydrogenase(279):3-hydroxybutyryl-CoA dehydrogenase(32)","mmgB(279):hbd(32)",837,885,880.43,7,1,"CG475_01868","CG988_02184","AB3_03622","AT6_02909","CG415_04733","CG102_00043","CG412_03119","ICMP10754_03450","SBV_10752_03890","CG1000_04736","K306_03547","NCPPB3554_04423","CG516_03928"
