"allele_name","gene_family","consensus_gene_name","consensus_product","threshold","alleles_at_maximum_threshold","number_genomes","average_dose","min_dose","max_dose","genomes_containing_fissions","genomes_containing_duplications","number_fission_loci","number_duplicated_loci","no_loci","products","gene_names","min_length.bp.","max_length.bp.","average_length.bp.","cluster","cluster_order","TR3","Eu2_1NK","Eu3_2RS","A19_93","AS1A61","Eu3_2NK"
"g007880_000004","g007880","fusA","Elongation factor G",90,7,311,1,1,1,0,0,0,0,311,"Elongation factor G(311)","fusA(311)",2100,2100,2100,3,4,"TR3_00082","Eu2_1NK_01511","Eu3_2RS_01155","A19_93_01062","AS1A61_00958","Eu3_2NK_00749"
"g000001_000006","g000001","rpsJ","30S ribosomal protein S10",98,1,311,1,1,1,0,0,0,0,311,"30S ribosomal protein S10(311)","rpsJ(311)",309,309,309,3,5,"TR3_02491","Eu2_1NK_00543","Eu3_2RS_01157","A19_93_01064","AS1A61_00956","Eu3_2NK_00751"
"g005427_000003","g005427","rplC","50S ribosomal protein L3",80,13,311,1,1,1,1,0,1,0,311,"50S ribosomal protein L3(312)","rplC(312)",270,642,639.61,3,6,"TR3_02490","Eu2_1NK_00544","Eu3_2RS_01158","A19_93_01065","AS1A61_00955","Eu3_2NK_00752"
"g006439_000003","g006439","rplD","50S ribosomal protein L4",80,11,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L4(311)","rplD(311)",519,621,620.34,3,7,"TR3_02489","Eu2_1NK_00545","Eu3_2RS_01159","A19_93_01066","AS1A61_00954","Eu3_2NK_00753"
"g009612_000003","g009612","rplW","50S ribosomal protein L23",80,7,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L23(311)","rplW(311)",294,294,294,3,8,"TR3_02488","Eu2_1NK_00546","Eu3_2RS_01160","A19_93_01067","AS1A61_00953","Eu3_2NK_00754"
"g007119_000004","g007119","rplB","50S ribosomal protein L2",90,10,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L2(311)","rplB(311)",837,837,837,3,9,"TR3_02487","Eu2_1NK_00547","Eu3_2RS_01161","A19_93_01068","AS1A61_00952","Eu3_2NK_00755"
"g007797_000004","g007797","rpsS","30S ribosomal protein S19",90,9,311,1,1,1,0,0,0,0,311,"30S ribosomal protein S19(311)","rpsS(311)",279,279,279,3,10,"TR3_02486","Eu2_1NK_00548","Eu3_2RS_01162","A19_93_01069","AS1A61_00951","Eu3_2NK_00756"
"g000403_000001","g000403","mnmG","tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG",60,57,311,1,1,1,3,0,3,0,311,"tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG(311):Ribosomal RNA small subunit methyltransferase G(3)","mnmG(311):rsmG(3)",618,2508,1871.37,4,1,"TR3_02105","Eu2_1NK_04424","Eu3_2RS_01292","A19_93_04023","AS1A61_04066","Eu3_2NK_00885"
"g000098","g000098","mnmE","tRNA modification GTPase MnmE",50,84,311,1,1,1,0,0,0,0,311,"tRNA modification GTPase MnmE(311)","mnmE(311)",1146,1338,1326.3,4,2,"TR3_02106","Eu2_1NK_04423","Eu3_2RS_01291","A19_93_04022","AS1A61_04067","Eu3_2NK_00884"
"g009870_000005","g009870","rho","Transcription termination factor Rho",95,5,311,1,1,1,0,0,0,0,311,"Transcription termination factor Rho(311)","rho(311)",1266,1395,1268.5,4,3,"TR3_02107","Eu2_1NK_04422","Eu3_2RS_01290","A19_93_04021","AS1A61_04068","Eu3_2NK_00883"
"g000085","g000085","hemE","Uroporphyrinogen decarboxylase",50,86,311,1,1,1,310,0,310,0,311,"Uroporphyrinogen decarboxylase(311):hypothetical protein(310)","hemE(311):NA(310)",483,1575,792.74,4,4,"(TR3_02108:TR3_02109)","(Eu2_1NK_04420:Eu2_1NK_04421)","(Eu3_2RS_01288:Eu3_2RS_01289)","(A19_93_04019:A19_93_04020)","(AS1A61_04069:AS1A61_04070)","(Eu3_2NK_00881:Eu3_2NK_00882)"
"g003786_000002","g003786","yqfL","Putative pyruvate%2C phosphate dikinase regulatory protein",70,21,311,1,1,1,0,0,0,0,311,"Putative pyruvate%2C phosphate dikinase regulatory protein(311)","yqfL(311)",663,885,812.38,4,5,"TR3_02110","Eu2_1NK_04418","Eu3_2RS_01287","A19_93_04018","AS1A61_04071","Eu3_2NK_00880"
"g000157","g000157","maf","Septum formation protein Maf",50,59,311,1,1,1,0,0,0,0,311,"Septum formation protein Maf(176):Maf-like protein YceF(133):Maf-like protein YhdE(2)","maf(176):yceF(133):yhdE(2)",600,600,600,4,6,"TR3_02111","Eu2_1NK_04417","Eu3_2RS_01286","A19_93_04017","AS1A61_04072","Eu3_2NK_00879"
"g000297_000001","g000297","aroE","Shikimate dehydrogenase (NADP(+))",60,64,311,1,1,1,0,0,0,0,311,"Shikimate dehydrogenase (NADP(+))(311)","aroE(311)",858,864,861.1,4,7,"TR3_02112","Eu2_1NK_04416","Eu3_2RS_01285","A19_93_04016","AS1A61_04073","Eu3_2NK_00878"
"g000165","g000165","coaE","Dephospho-CoA kinase",50,74,311,1,1,1,0,0,0,0,311,"Dephospho-CoA kinase(311)","coaE(311)",582,618,604.82,4,8,"TR3_02113","Eu2_1NK_04415","Eu3_2RS_01284","A19_93_04015","AS1A61_04074","Eu3_2NK_00877"
"g001374_000002","g001374","dnaQ","DNA polymerase III subunit epsilon",70,37,311,1,1,1,4,0,4,0,311,"DNA polymerase III subunit epsilon(305):DNA polymerase III PolC-type(10)","dnaQ(305):polC(10)",345,717,695.85,4,9,"TR3_02114","Eu2_1NK_04414","Eu3_2RS_01283","A19_93_04014","AS1A61_04075","Eu3_2NK_00876"
"g004610_000003","g004610","secB","Protein-export protein SecB",80,17,311,1,1,1,0,0,0,0,311,"Protein-export protein SecB(311)","secB(311)",462,483,478.8,4,10,"TR3_02115","Eu2_1NK_04413","Eu3_2RS_01282","A19_93_04013","AS1A61_04076","Eu3_2NK_00875"
"g007166_000004","g007166","rplU","50S ribosomal protein L21",90,10,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L21(311)","rplU(311)",315,318,315.79,5,1,"TR3_02261","Eu2_1NK_04573","Eu3_2RS_01440","A19_93_04171","AS1A61_03918","Eu3_2NK_01033"
"g006207_000003","g006207","rpmA","50S ribosomal protein L27",80,12,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L27(311)","rpmA(311)",270,273,270.49,5,2,"TR3_02262","Eu2_1NK_04572","Eu3_2RS_01439","A19_93_04170","AS1A61_03919","Eu3_2NK_01032"
"g004851_000002","g004851",NA,"hypothetical protein",70,16,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",633,639,633.85,5,3,"TR3_02263","Eu2_1NK_04571","Eu3_2RS_01438","A19_93_04169","AS1A61_03920","Eu3_2NK_01031"
"g000458","g000458",NA,"hypothetical protein",50,56,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",570,636,589.56,5,4,"TR3_02264","Eu2_1NK_04570","Eu3_2RS_01437","A19_93_04168","AS1A61_03921","Eu3_2NK_01030"
"g004323_000003","g004323","cgtA","GTPase Obg/CgtA",80,18,311,1,1,1,0,0,0,0,311,"GTPase Obg/CgtA(311)","cgtA(311)",1065,1140,1089.08,5,5,"TR3_02265","Eu2_1NK_04569","Eu3_2RS_01436","A19_93_04167","AS1A61_03922","Eu3_2NK_01029"
"g003175_000003","g003175","proB","Glutamate 5-kinase",80,24,311,1,1,1,0,0,0,0,311,"Glutamate 5-kinase(311)","proB(311)",1170,1182,1172.04,5,6,"TR3_02266","Eu2_1NK_04568","Eu3_2RS_01435","A19_93_04166","AS1A61_03923","Eu3_2NK_01028"
"g000745_000002","g000745","proA","Gamma-glutamyl phosphate reductase",70,48,311,1,1,1,0,0,0,0,311,"Gamma-glutamyl phosphate reductase(311)","proA(311)",1284,1287,1285.69,5,7,"TR3_02267","Eu2_1NK_04567","Eu3_2RS_01434","A19_93_04165","AS1A61_03924","Eu3_2NK_01027"
"g001901_000002","g001901","nadD","nicotinate-nucleotide adenylyltransferase",70,32,311,1,1,1,0,0,0,0,311,"nicotinate-nucleotide adenylyltransferase(311)","nadD(311)",561,660,614.62,5,8,"TR3_02268","Eu2_1NK_04566","Eu3_2RS_01433","A19_93_04164","AS1A61_03925","Eu3_2NK_01026"
"g000376","g000376","modA","Molybdate-binding protein ModA",50,60,311,1,1,1,0,0,0,0,311,"Molybdate-binding protein ModA(311)","modA(311)",738,819,797.56,5,9,"TR3_02173","Eu2_1NK_04661","Eu3_2RS_02332","A19_93_04259","AS1A61_03830","Eu3_2NK_02243"
"g002153_1_000003","g002153_1","modB","Molybdenum transport system permease protein ModB",70,30,311,1,1,1,0,0,0,0,311,"Molybdenum transport system permease protein ModB(311)","modB(311)",693,759,701.92,5,10,"TR3_02174","Eu2_1NK_04660","Eu3_2RS_02333","A19_93_04258","AS1A61_03831","Eu3_2NK_02242"
"g000925_000003","g000925",NA,"hypothetical protein",80,44,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",1134,1356,1294.04,6,1,"TR3_03417","Eu2_1NK_03172","Eu3_2RS_03932","A19_93_02434","AS1A61_03093","Eu3_2NK_01887"
"g001036_000003","g001036","hcaB","3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase",80,42,311,1,1,1,1,0,1,0,311,"3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase(310):hypothetical protein(2)","hcaB(310):NA(2)",261,2112,2089.38,6,2,"TR3_03419","Eu2_1NK_03170","Eu3_2RS_03930","A19_93_02432","AS1A61_03095","Eu3_2NK_01885"
"g003902_000003","g003902","ulaR","HTH-type transcriptional regulator UlaR",80,15,311,1,1,1,1,0,1,0,311,"HTH-type transcriptional regulator UlaR(311):hypothetical protein(1)","ulaR(311):NA(1)",297,831,820.45,6,3,"TR3_03420","Eu2_1NK_03169","Eu3_2RS_03929","A19_93_02431","AS1A61_03096","Eu3_2NK_01884"
"g004585_000003","g004585","lsrB","Autoinducer 2-binding protein LsrB",80,17,311,1,1,2,0,1,0,1,312,"Autoinducer 2-binding protein LsrB(311):hypothetical protein(1)","lsrB(311):NA(1)",246,1011,1002.01,6,4,"TR3_03421","Eu2_1NK_03168","Eu3_2RS_03928","A19_93_02430","AS1A61_03097","Eu3_2NK_01883"
"g000355_1_000023","g000355_1","rbsA","Ribose import ATP-binding protein RbsA",80,48,311,1,1,1,3,0,3,0,311,"Ribose import ATP-binding protein RbsA(311):hypothetical protein(3)","rbsA(311):NA(3)",288,1599,1506.69,6,5,"TR3_03163","Eu2_1NK_03167","Eu3_2RS_03927","A19_93_02429","AS1A61_03098","Eu3_2NK_01882"
"g001785_000002","g001785","rbsC","Ribose import permease protein RbsC",70,34,311,1,1,1,0,0,0,0,311,"Ribose import permease protein RbsC(263):D-allose transport system permease protein AlsC(46):Autoinducer 2 import system permease protein LsrC(2)","rbsC(263):alsC(46):lsrC(2)",993,1008,1002.74,6,6,"TR3_03164","Eu2_1NK_03166","Eu3_2RS_03926","A19_93_02428","AS1A61_03099","Eu3_2NK_01881"
"g002265_000003","g002265","lsrD","Autoinducer 2 import system permease protein LsrD",80,30,311,1,1,1,1,0,1,0,311,"Autoinducer 2 import system permease protein LsrD(311):hypothetical protein(1)","lsrD(311):NA(1)",309,1017,1008.64,6,7,"TR3_03165","Eu2_1NK_03165","Eu3_2RS_03925","A19_93_02427","AS1A61_03100","Eu3_2NK_01880"
"g000401_000002","g000401","rhaM","L-rhamnose mutarotase",70,58,311,1,1,1,0,0,0,0,311,"L-rhamnose mutarotase(311)","rhaM(311)",324,327,324.79,6,8,"TR3_03166","Eu2_1NK_03164","Eu3_2RS_03924","A19_93_02426","AS1A61_03101","Eu3_2NK_01879"
"g000089","g000089","fucK","L-fuculokinase",50,85,311,1,1,2,0,1,0,1,312,"L-fuculokinase(225):Rhamnulokinase(85):hypothetical protein(2)","fucK(225):rhaB(85):NA(2)",267,1425,1385.82,6,9,"TR3_03167","Eu2_1NK_03163","Eu3_2RS_03923","A19_93_02425","AS1A61_03102","Eu3_2NK_01878"
"g004193_000003","g004193","mmgB","putative 3-hydroxybutyryl-CoA dehydrogenase",80,19,311,1,1,1,0,0,0,0,311,"putative 3-hydroxybutyryl-CoA dehydrogenase(279):3-hydroxybutyryl-CoA dehydrogenase(32)","mmgB(279):hbd(32)",837,885,880.43,7,1,"TR3_00594","Eu2_1NK_04247","Eu3_2RS_04269","A19_93_03848","AS1A61_03697","Eu3_2NK_03727"
"g000713_000002","g000713","yvqK","Cob(I)yrinic acid a%2Cc-diamide adenosyltransferase",70,49,311,1,1,1,0,0,0,0,311,"Cob(I)yrinic acid a%2Cc-diamide adenosyltransferase(310):Cobalamin adenosyltransferase(1)","NA(309):yvqK(1):cobO(1)",579,594,581.38,7,2,"TR3_00598","Eu2_1NK_04243","Eu3_2RS_04265","A19_93_03844","AS1A61_03693","Eu3_2NK_03723"
"g004631_000002","g004631",NA,"hypothetical protein",70,17,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",198,204,199.58,7,3,"TR3_00599","Eu2_1NK_04242","Eu3_2RS_04264","A19_93_03843","AS1A61_03692","Eu3_2NK_03722"
"g001696_000002","g001696","actIII","hypothetical protein",70,34,311,1,1,1,0,0,0,0,311,"hypothetical protein(234):Putative ketoacyl reductase(77)","NA(234):actIII(77)",705,834,833.5,7,4,"TR3_00600","Eu2_1NK_04241","Eu3_2RS_04263","A19_93_03842","AS1A61_03691","Eu3_2NK_03721"
"g002400_000001","g002400",NA,"hypothetical protein",60,19,311,1,1,2,0,1,0,1,312,"hypothetical protein(312)","NA(312)",144,1080,922,7,5,"TR3_00601","Eu2_1NK_04240","Eu3_2RS_04262","A19_93_03841","AS1A61_03690","Eu3_2NK_03720"
"g000087_000001","g000087","gltX","Glutamate--tRNA ligase",60,87,311,1,1,1,0,0,0,0,311,"Glutamate--tRNA ligase(289):Glutamate--tRNA ligase 1(22)","gltX(289):gltX1(22)",846,930,889.77,7,6,"TR3_00602","Eu2_1NK_04239","Eu3_2RS_04261","A19_93_03840","AS1A61_03689","Eu3_2NK_03719"
"g000392","g000392","alkA","DNA-3-methyladenine glycosylase",50,59,311,1,1,1,0,0,0,0,311,"DNA-3-methyladenine glycosylase(127):hypothetical protein(93):putative bifunctional transcriptional activator/DNA repair enzyme AlkA(91)","alkA(218):NA(93)",306,678,646.53,7,7,"TR3_00603","Eu2_1NK_04238","Eu3_2RS_04260","A19_93_03839","AS1A61_03688","Eu3_2NK_03718"
"g004373_000004","g004373",NA,"hypothetical protein",90,16,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",279,582,556.6,7,8,"TR3_00604","Eu2_1NK_04237","Eu3_2RS_04259","A19_93_03838","AS1A61_03687","Eu3_2NK_03717"
"g001468","g001468","dsbB","Disulfide bond formation protein B",50,36,311,1,1,1,0,0,0,0,311,"Disulfide bond formation protein B(311)","dsbB(311)",510,519,514.75,7,9,"TR3_00605","Eu2_1NK_04236","Eu3_2RS_04258","A19_93_03837","AS1A61_03686","Eu3_2NK_03716"
"g002130_1_000008","g002130_1","fpr","Flavodoxin/ferredoxin--NADP reductase",80,24,311,1,1,1,0,0,0,0,311,"Flavodoxin/ferredoxin--NADP reductase(311)","fpr(311)",624,813,812.39,8,1,"TR3_02609","Eu2_1NK_03452","Eu3_2RS_00020","A19_93_00020","AS1A61_00860","Eu3_2NK_03867"
"g000572_000001","g000572",NA,"hypothetical protein",60,53,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",507,558,509.43,8,2,"TR3_02608","Eu2_1NK_03453","Eu3_2RS_00021","A19_93_00021","AS1A61_00859","Eu3_2NK_03868"
"g003317_1_000004","g003317_1","sir","Sulfite reductase [ferredoxin]",80,18,311,1,1,1,2,0,2,0,311,"Sulfite reductase [ferredoxin](310):hypothetical protein(3)","sir(310):NA(3)",666,1680,1661.85,8,3,"TR3_02607","Eu2_1NK_03454","Eu3_2RS_00022","A19_93_00022","AS1A61_00858","Eu3_2NK_03869"
"g002476_000001","g002476",NA,"hypothetical protein",60,29,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",315,315,315,8,4,"TR3_02606","Eu2_1NK_03455","Eu3_2RS_00023","A19_93_00023","AS1A61_00857","Eu3_2NK_03870"
"g000869_000002","g000869","cysG","Siroheme synthase",70,45,311,1,1,1,1,0,1,0,311,"Siroheme synthase(312)","cysG(312)",282,1593,1451.82,8,5,"TR3_02605","Eu2_1NK_03456","Eu3_2RS_00024","A19_93_00024","AS1A61_00856","Eu3_2NK_03871"
"g000928_1_000002","g000928_1",NA,"hypothetical protein",70,42,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",588,615,588.17,8,6,"TR3_02604","Eu2_1NK_03457","Eu3_2RS_00025","A19_93_00025","AS1A61_00855","Eu3_2NK_03872"
"g000801_000002","g000801","mazG","Nucleoside triphosphate pyrophosphohydrolase",70,42,311,1,1,1,0,0,0,0,311,"Nucleoside triphosphate pyrophosphohydrolase(311)","mazG(311)",546,876,841.33,8,7,"TR3_02603","Eu2_1NK_03458","Eu3_2RS_00026","A19_93_00026","AS1A61_00854","Eu3_2NK_03873"
"g001749_000002","g001749","hflX","GTPase HflX",70,32,311,1,1,1,1,0,1,0,311,"GTPase HflX(310):hypothetical protein(2)","hflX(310):NA(2)",249,1461,1385.03,8,8,"TR3_02601","Eu2_1NK_03460","Eu3_2RS_00028","A19_93_00028","AS1A61_00852","Eu3_2NK_03875"
"g001211_1_000003","g001211_1","ybhL","Inner membrane protein YbhL",70,28,311,1,1,2,0,1,0,1,312,"Inner membrane protein YbhL(310):hypothetical protein(2)","ybhL(310):NA(2)",126,846,750.32,9,1,"TR3_02050","Eu2_1NK_04479","Eu3_2RS_01347","A19_93_04078","AS1A61_04011","Eu3_2NK_00940"
