"allele_name","gene_family","consensus_gene_name","consensus_product","threshold","alleles_at_maximum_threshold","number_genomes","average_dose","min_dose","max_dose","genomes_containing_fissions","genomes_containing_duplications","number_fission_loci","number_duplicated_loci","no_loci","products","gene_names","min_length.bp.","max_length.bp.","average_length.bp.","cluster","cluster_order","AGR1_1","CFBP5506","Hayward0363","CFBP5507","YIC5082","NCPPB2657","GBBC3283"
"g006934_000005","g006934","rpsE","30S ribosomal protein S5",95,10,311,1,1,1,0,0,0,0,311,"30S ribosomal protein S5(311)","rpsE(311)",570,570,570,1,12,"AGR1_1_00836","CFBP5506_04076","Hayward0363_00627","CFBP5507_02635","YIC5082_00382","NCPPB2657_01640","GBBC3283_00096"
"g007728_000003","g007728","rpmD","50S ribosomal protein L30",80,9,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L30(311)","rpmD(311)",204,213,208.13,1,13,"AGR1_1_00837","CFBP5506_04077","Hayward0363_00628","CFBP5507_02634","YIC5082_00381","NCPPB2657_01639","GBBC3283_00095"
"g004378_000003","g004378","rplO","50S ribosomal protein L15",80,18,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L15(311)","rplO(311)",471,486,477.75,1,14,"AGR1_1_00838","CFBP5506_04078","Hayward0363_00629","CFBP5507_02633","YIC5082_00380","NCPPB2657_01638","GBBC3283_00094"
"g004743_000004","g004743","secY","Protein translocase subunit SecY",90,15,311,1,1,1,0,0,0,0,311,"Protein translocase subunit SecY(311)","secY(311)",1341,1461,1342.51,1,15,"AGR1_1_00839","CFBP5506_04079","Hayward0363_00630","CFBP5507_02632","YIC5082_00379","NCPPB2657_01637","GBBC3283_00093"
"g002258_000003","g002258","rsmH","Ribosomal RNA small subunit methyltransferase H",80,30,311,1,1,1,0,0,0,0,311,"Ribosomal RNA small subunit methyltransferase H(311)","rsmH(311)",684,1026,1024.9,2,1,"AGR1_1_00540","CFBP5506_03377","Hayward0363_00471","CFBP5507_02790","YIC5082_01279","NCPPB2657_03577","GBBC3283_00321"
"g002894","g002894",NA,"hypothetical protein",50,26,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",384,567,532.21,2,2,"AGR1_1_00541","CFBP5506_03376","Hayward0363_00472","CFBP5507_02789","YIC5082_01280","NCPPB2657_03576","GBBC3283_00320"
"g000328_1_000007","g000328_1","ftsI","putative peptidoglycan D%2CD-transpeptidase FtsI",70,22,311,1,1,2,0,1,0,1,312,"putative peptidoglycan D%2CD-transpeptidase FtsI(311):hypothetical protein(1)","ftsI(311):NA(1)",144,1755,1737.09,2,3,"AGR1_1_00542","CFBP5506_03375","Hayward0363_00473","CFBP5507_02788","YIC5082_01281","NCPPB2657_03575","GBBC3283_00319"
"g001168_000002","g001168","murE","UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2%2C6-diaminopimelate ligase",70,40,311,1,1,1,0,0,0,0,311,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2%2C6-diaminopimelate ligase(311)","murE(311)",1302,1470,1463.41,2,4,"AGR1_1_00543","CFBP5506_03374","Hayward0363_00474","CFBP5507_02787","YIC5082_01282","NCPPB2657_03574","GBBC3283_00318"
"g002659_000001","g002659","murF","UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase",60,27,311,1,1,1,0,0,0,0,311,"UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase(311)","murF(311)",1407,1461,1427.05,2,5,"AGR1_1_00544","CFBP5506_03373","Hayward0363_00475","CFBP5507_02786","YIC5082_01283","NCPPB2657_03573","GBBC3283_00317"
"g005745_000003","g005745","mraY","Phospho-N-acetylmuramoyl-pentapeptide-transferase",80,13,311,1,1,1,0,0,0,0,311,"Phospho-N-acetylmuramoyl-pentapeptide-transferase(311)","mraY(311)",1101,1122,1107.58,2,6,"AGR1_1_00545","CFBP5506_03372","Hayward0363_00476","CFBP5507_02785","YIC5082_01284","NCPPB2657_03572","GBBC3283_00316"
"g000775_000002","g000775","murD","UDP-N-acetylmuramoylalanine--D-glutamate ligase",70,47,311,1,1,1,0,0,0,0,311,"UDP-N-acetylmuramoylalanine--D-glutamate ligase(311)","murD(311)",1407,1596,1418.61,2,7,"AGR1_1_00546","CFBP5506_03371","Hayward0363_00477","CFBP5507_02784","YIC5082_01285","NCPPB2657_03571","GBBC3283_00315"
"g005025_1_000003","g005025_1","ftsW","putative peptidoglycan glycosyltransferase FtsW",70,14,311,1,1,1,0,0,0,0,311,"putative peptidoglycan glycosyltransferase FtsW(311)","ftsW(311)",465,1158,1152.79,2,8,"AGR1_1_00547","CFBP5506_03370","Hayward0363_00478","CFBP5507_02783","YIC5082_01286","NCPPB2657_03570","GBBC3283_00314"
"g001766_000002","g001766","murG","UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase",70,32,311,1,1,1,1,0,1,0,311,"UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase(312)","murG(312)",312,1140,1127.62,2,9,"AGR1_1_00548","CFBP5506_03369","Hayward0363_00479","CFBP5507_02782","YIC5082_01287","NCPPB2657_03569","GBBC3283_00313"
"g004519_000003","g004519","murC","UDP-N-acetylmuramate--L-alanine ligase",80,15,311,1,1,1,0,0,0,0,311,"UDP-N-acetylmuramate--L-alanine ligase(311)","murC(311)",1389,1446,1416.02,2,10,"AGR1_1_00549","CFBP5506_03368","Hayward0363_00480","CFBP5507_02781","YIC5082_01288","NCPPB2657_03568","GBBC3283_00312"
"g003732_000003","g003732","murB","UDP-N-acetylenolpyruvoylglucosamine reductase",80,19,311,1,1,1,0,0,0,0,311,"UDP-N-acetylenolpyruvoylglucosamine reductase(311)","murB(311)",966,975,969.94,2,11,"AGR1_1_00550","CFBP5506_03367","Hayward0363_00481","CFBP5507_02780","YIC5082_01289","NCPPB2657_03567","GBBC3283_00311"
"g003127_000002","g003127",NA,"hypothetical protein",70,25,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",294,354,297.47,3,1,"AGR1_1_00813","CFBP5506_00968","Hayward0363_00604","CFBP5507_02658","YIC5082_00054","NCPPB2657_01663","GBBC3283_00119"
"g000002_000006","g000002","rpsL","30S ribosomal protein S12",98,1,311,1,1,1,0,0,0,0,311,"30S ribosomal protein S12(311)","rpsL(311)",372,372,372,3,2,"AGR1_1_00814","CFBP5506_00967","Hayward0363_00605","CFBP5507_02657","YIC5082_00053","NCPPB2657_01662","GBBC3283_00118"
"g009525_000004","g009525","rpsG","30S ribosomal protein S7",90,7,311,1,1,1,0,0,0,0,311,"30S ribosomal protein S7(311)","rpsG(311)",393,471,470.75,3,3,"AGR1_1_00815","CFBP5506_00966","Hayward0363_00606","CFBP5507_02656","YIC5082_00052","NCPPB2657_01661","GBBC3283_00117"
"g007880_000004","g007880","fusA","Elongation factor G",90,7,311,1,1,1,0,0,0,0,311,"Elongation factor G(311)","fusA(311)",2100,2100,2100,3,4,"AGR1_1_00816","CFBP5506_00965","Hayward0363_00607","CFBP5507_02655","YIC5082_00051","NCPPB2657_01660","GBBC3283_00116"
"g000001_000006","g000001","rpsJ","30S ribosomal protein S10",98,1,311,1,1,1,0,0,0,0,311,"30S ribosomal protein S10(311)","rpsJ(311)",309,309,309,3,5,"AGR1_1_00818","CFBP5506_04058","Hayward0363_00609","CFBP5507_02653","YIC5082_00400","NCPPB2657_01658","GBBC3283_00114"
"g005427_000003","g005427","rplC","50S ribosomal protein L3",80,13,311,1,1,1,1,0,1,0,311,"50S ribosomal protein L3(312)","rplC(312)",270,642,639.61,3,6,"AGR1_1_00819","CFBP5506_04059","Hayward0363_00610","CFBP5507_02652","YIC5082_00399","NCPPB2657_01657","GBBC3283_00113"
"g006439_000003","g006439","rplD","50S ribosomal protein L4",80,11,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L4(311)","rplD(311)",519,621,620.34,3,7,"AGR1_1_00820","CFBP5506_04060","Hayward0363_00611","CFBP5507_02651","YIC5082_00398","NCPPB2657_01656","GBBC3283_00112"
"g009612_000003","g009612","rplW","50S ribosomal protein L23",80,7,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L23(311)","rplW(311)",294,294,294,3,8,"AGR1_1_00821","CFBP5506_04061","Hayward0363_00612","CFBP5507_02650","YIC5082_00397","NCPPB2657_01655","GBBC3283_00111"
"g007119_000004","g007119","rplB","50S ribosomal protein L2",90,10,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L2(311)","rplB(311)",837,837,837,3,9,"AGR1_1_00822","CFBP5506_04062","Hayward0363_00613","CFBP5507_02649","YIC5082_00396","NCPPB2657_01654","GBBC3283_00110"
"g007797_000004","g007797","rpsS","30S ribosomal protein S19",90,9,311,1,1,1,0,0,0,0,311,"30S ribosomal protein S19(311)","rpsS(311)",279,279,279,3,10,"AGR1_1_00823","CFBP5506_04063","Hayward0363_00614","CFBP5507_02648","YIC5082_00395","NCPPB2657_01653","GBBC3283_00109"
"g000403_000001","g000403","mnmG","tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG",60,57,311,1,1,1,3,0,3,0,311,"tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG(311):Ribosomal RNA small subunit methyltransferase G(3)","mnmG(311):rsmG(3)",618,2508,1871.37,4,1,"AGR1_1_02849","CFBP5506_02985","Hayward0363_02396","CFBP5507_05131","YIC5082_00774","NCPPB2657_01995","GBBC3283_02477"
"g000098","g000098","mnmE","tRNA modification GTPase MnmE",50,84,311,1,1,1,0,0,0,0,311,"tRNA modification GTPase MnmE(311)","mnmE(311)",1146,1338,1326.3,4,2,"AGR1_1_02850","CFBP5506_02984","Hayward0363_02395","CFBP5507_05132","YIC5082_00775","NCPPB2657_01996","GBBC3283_02476"
"g009870_000005","g009870","rho","Transcription termination factor Rho",95,5,311,1,1,1,0,0,0,0,311,"Transcription termination factor Rho(311)","rho(311)",1266,1395,1268.5,4,3,"AGR1_1_02851","CFBP5506_02983","Hayward0363_02394","CFBP5507_05133","YIC5082_00776","NCPPB2657_01997","GBBC3283_02475"
"g000085","g000085","hemE","Uroporphyrinogen decarboxylase",50,86,311,1,1,1,310,0,310,0,311,"Uroporphyrinogen decarboxylase(311):hypothetical protein(310)","hemE(311):NA(310)",483,1575,792.74,4,4,"(AGR1_1_02852:AGR1_1_02853)","(CFBP5506_02981:CFBP5506_02982)","(Hayward0363_02392:Hayward0363_02393)","(CFBP5507_05134:CFBP5507_05135)","(YIC5082_00777:YIC5082_00778)","(NCPPB2657_01998:NCPPB2657_01999)","(GBBC3283_02473:GBBC3283_02474)"
"g003786_000002","g003786","yqfL","Putative pyruvate%2C phosphate dikinase regulatory protein",70,21,311,1,1,1,0,0,0,0,311,"Putative pyruvate%2C phosphate dikinase regulatory protein(311)","yqfL(311)",663,885,812.38,4,5,"AGR1_1_02854","CFBP5506_02980","Hayward0363_02391","CFBP5507_05136","YIC5082_00779","NCPPB2657_02000","GBBC3283_02472"
"g000157","g000157","maf","Septum formation protein Maf",50,59,311,1,1,1,0,0,0,0,311,"Septum formation protein Maf(176):Maf-like protein YceF(133):Maf-like protein YhdE(2)","maf(176):yceF(133):yhdE(2)",600,600,600,4,6,"AGR1_1_02855","CFBP5506_02979","Hayward0363_02390","CFBP5507_05137","YIC5082_00780","NCPPB2657_02001","GBBC3283_02471"
"g000297_000001","g000297","aroE","Shikimate dehydrogenase (NADP(+))",60,64,311,1,1,1,0,0,0,0,311,"Shikimate dehydrogenase (NADP(+))(311)","aroE(311)",858,864,861.1,4,7,"AGR1_1_02856","CFBP5506_02978","Hayward0363_02389","CFBP5507_05138","YIC5082_00781","NCPPB2657_02002","GBBC3283_02470"
"g000165","g000165","coaE","Dephospho-CoA kinase",50,74,311,1,1,1,0,0,0,0,311,"Dephospho-CoA kinase(311)","coaE(311)",582,618,604.82,4,8,"AGR1_1_02857","CFBP5506_02977","Hayward0363_02388","CFBP5507_05139","YIC5082_00782","NCPPB2657_02003","GBBC3283_02469"
"g001374_000002","g001374","dnaQ","DNA polymerase III subunit epsilon",70,37,311,1,1,1,4,0,4,0,311,"DNA polymerase III subunit epsilon(305):DNA polymerase III PolC-type(10)","dnaQ(305):polC(10)",345,717,695.85,4,9,"AGR1_1_02858","CFBP5506_02976","Hayward0363_02387","CFBP5507_05140","YIC5082_00783","NCPPB2657_02004","GBBC3283_02468"
"g004610_000003","g004610","secB","Protein-export protein SecB",80,17,311,1,1,1,0,0,0,0,311,"Protein-export protein SecB(311)","secB(311)",462,483,478.8,4,10,"AGR1_1_02859","CFBP5506_02975","Hayward0363_02386","CFBP5507_05141","YIC5082_00784","NCPPB2657_02005","GBBC3283_02467"
"g007166_000004","g007166","rplU","50S ribosomal protein L21",90,10,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L21(311)","rplU(311)",315,318,315.79,5,1,"AGR1_1_02804","CFBP5506_03030","Hayward0363_02441","CFBP5507_05087","YIC5082_00730","NCPPB2657_01951","GBBC3283_02521"
"g006207_000003","g006207","rpmA","50S ribosomal protein L27",80,12,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L27(311)","rpmA(311)",270,273,270.49,5,2,"AGR1_1_02803","CFBP5506_03031","Hayward0363_02442","CFBP5507_05086","YIC5082_00729","NCPPB2657_01950","GBBC3283_02522"
"g004851_000002","g004851",NA,"hypothetical protein",70,16,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",633,639,633.85,5,3,"AGR1_1_02802","CFBP5506_03032","Hayward0363_02443","CFBP5507_05085","YIC5082_00728","NCPPB2657_01949","GBBC3283_02523"
"g000458","g000458",NA,"hypothetical protein",50,56,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",570,636,589.56,5,4,"AGR1_1_02801","CFBP5506_03033","Hayward0363_02444","CFBP5507_05084","YIC5082_00727","NCPPB2657_01948","GBBC3283_02524"
"g004323_000003","g004323","cgtA","GTPase Obg/CgtA",80,18,311,1,1,1,0,0,0,0,311,"GTPase Obg/CgtA(311)","cgtA(311)",1065,1140,1089.08,5,5,"AGR1_1_02800","CFBP5506_03034","Hayward0363_02445","CFBP5507_05083","YIC5082_00726","NCPPB2657_01947","GBBC3283_02525"
"g003175_000003","g003175","proB","Glutamate 5-kinase",80,24,311,1,1,1,0,0,0,0,311,"Glutamate 5-kinase(311)","proB(311)",1170,1182,1172.04,5,6,"AGR1_1_02799","CFBP5506_03035","Hayward0363_02446","CFBP5507_05082","YIC5082_00725","NCPPB2657_01946","GBBC3283_02526"
"g000745_000002","g000745","proA","Gamma-glutamyl phosphate reductase",70,48,311,1,1,1,0,0,0,0,311,"Gamma-glutamyl phosphate reductase(311)","proA(311)",1284,1287,1285.69,5,7,"AGR1_1_02798","CFBP5506_03036","Hayward0363_02447","CFBP5507_05081","YIC5082_00724","NCPPB2657_01945","GBBC3283_02527"
"g001901_000002","g001901","nadD","nicotinate-nucleotide adenylyltransferase",70,32,311,1,1,1,0,0,0,0,311,"nicotinate-nucleotide adenylyltransferase(311)","nadD(311)",561,660,614.62,5,8,"AGR1_1_02797","CFBP5506_03037","Hayward0363_02448","CFBP5507_05080","YIC5082_00723","NCPPB2657_01944","GBBC3283_02528"
"g000376","g000376","modA","Molybdate-binding protein ModA",50,60,311,1,1,1,0,0,0,0,311,"Molybdate-binding protein ModA(311)","modA(311)",738,819,797.56,5,9,"AGR1_1_02583","CFBP5506_03249","Hayward0363_02661","CFBP5507_04858","YIC5082_01569","NCPPB2657_05059","GBBC3283_02742"
"g002153_1_000003","g002153_1","modB","Molybdenum transport system permease protein ModB",70,30,311,1,1,1,0,0,0,0,311,"Molybdenum transport system permease protein ModB(311)","modB(311)",693,759,701.92,5,10,"AGR1_1_02584","CFBP5506_03248","Hayward0363_02660","CFBP5507_04859","YIC5082_01568","NCPPB2657_05060","GBBC3283_02741"
"g000925_000003","g000925",NA,"hypothetical protein",80,44,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",1134,1356,1294.04,6,1,"AGR1_1_03542","CFBP5506_00424","Hayward0363_03892","CFBP5507_03932","YIC5082_02322","NCPPB2657_03050","GBBC3283_00944"
"g001036_000003","g001036","hcaB","3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase",80,42,311,1,1,1,1,0,1,0,311,"3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase(310):hypothetical protein(2)","hcaB(310):NA(2)",261,2112,2089.38,6,2,"AGR1_1_03543","CFBP5506_00425","Hayward0363_03891","CFBP5507_03931","YIC5082_02323","NCPPB2657_03051","GBBC3283_00945"
"g003902_000003","g003902","ulaR","HTH-type transcriptional regulator UlaR",80,15,311,1,1,1,1,0,1,0,311,"HTH-type transcriptional regulator UlaR(311):hypothetical protein(1)","ulaR(311):NA(1)",297,831,820.45,6,3,"AGR1_1_03544","CFBP5506_00426","Hayward0363_03890","CFBP5507_03930","YIC5082_02324","NCPPB2657_03052","GBBC3283_00946"
"g004585_000003","g004585","lsrB","Autoinducer 2-binding protein LsrB",80,17,311,1,1,2,0,1,0,1,312,"Autoinducer 2-binding protein LsrB(311):hypothetical protein(1)","lsrB(311):NA(1)",246,1011,1002.01,6,4,"AGR1_1_03545","CFBP5506_00427","Hayward0363_03889","CFBP5507_03929","YIC5082_02325","NCPPB2657_03053","GBBC3283_00947"
"g000355_1_000023","g000355_1","rbsA","Ribose import ATP-binding protein RbsA",80,48,311,1,1,1,3,0,3,0,311,"Ribose import ATP-binding protein RbsA(311):hypothetical protein(3)","rbsA(311):NA(3)",288,1599,1506.69,6,5,"AGR1_1_03546","CFBP5506_00428","Hayward0363_03888","CFBP5507_03928","YIC5082_02326","NCPPB2657_03054","GBBC3283_00948"
"g001785_000002","g001785","rbsC","Ribose import permease protein RbsC",70,34,311,1,1,1,0,0,0,0,311,"Ribose import permease protein RbsC(263):D-allose transport system permease protein AlsC(46):Autoinducer 2 import system permease protein LsrC(2)","rbsC(263):alsC(46):lsrC(2)",993,1008,1002.74,6,6,"AGR1_1_03547","CFBP5506_00429","Hayward0363_03887","CFBP5507_03927","YIC5082_02327","NCPPB2657_03055","GBBC3283_00949"
"g002265_000003","g002265","lsrD","Autoinducer 2 import system permease protein LsrD",80,30,311,1,1,1,1,0,1,0,311,"Autoinducer 2 import system permease protein LsrD(311):hypothetical protein(1)","lsrD(311):NA(1)",309,1017,1008.64,6,7,"AGR1_1_03548","CFBP5506_00430","Hayward0363_03886","CFBP5507_03926","YIC5082_02328","NCPPB2657_03056","GBBC3283_00950"
"g000401_000002","g000401","rhaM","L-rhamnose mutarotase",70,58,311,1,1,1,0,0,0,0,311,"L-rhamnose mutarotase(311)","rhaM(311)",324,327,324.79,6,8,"AGR1_1_03549","CFBP5506_00431","Hayward0363_03885","CFBP5507_03925","YIC5082_02329","NCPPB2657_03057","GBBC3283_00951"
"g000089","g000089","fucK","L-fuculokinase",50,85,311,1,1,2,0,1,0,1,312,"L-fuculokinase(225):Rhamnulokinase(85):hypothetical protein(2)","fucK(225):rhaB(85):NA(2)",267,1425,1385.82,6,9,"AGR1_1_03550","CFBP5506_00432","Hayward0363_03884","CFBP5507_03924","YIC5082_02330","NCPPB2657_03058","GBBC3283_00952"
"g004193_000003","g004193","mmgB","putative 3-hydroxybutyryl-CoA dehydrogenase",80,19,311,1,1,1,0,0,0,0,311,"putative 3-hydroxybutyryl-CoA dehydrogenase(279):3-hydroxybutyryl-CoA dehydrogenase(32)","mmgB(279):hbd(32)",837,885,880.43,7,1,"AGR1_1_03637","CFBP5506_00555","Hayward0363_03761","CFBP5507_03826","YIC5082_02435","NCPPB2657_03163","GBBC3283_01057"
"g000713_000002","g000713","yvqK","Cob(I)yrinic acid a%2Cc-diamide adenosyltransferase",70,49,311,1,1,1,0,0,0,0,311,"Cob(I)yrinic acid a%2Cc-diamide adenosyltransferase(310):Cobalamin adenosyltransferase(1)","NA(309):yvqK(1):cobO(1)",579,594,581.38,7,2,"AGR1_1_03633","CFBP5506_00551","Hayward0363_03765","CFBP5507_03830","YIC5082_02431","NCPPB2657_03159","GBBC3283_01053"
"g004631_000002","g004631",NA,"hypothetical protein",70,17,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",198,204,199.58,7,3,"AGR1_1_03632","CFBP5506_00550","Hayward0363_03766","CFBP5507_03831","YIC5082_02430","NCPPB2657_03158","GBBC3283_01052"
"g001696_000002","g001696","actIII","hypothetical protein",70,34,311,1,1,1,0,0,0,0,311,"hypothetical protein(234):Putative ketoacyl reductase(77)","NA(234):actIII(77)",705,834,833.5,7,4,"AGR1_1_03631","CFBP5506_00549","Hayward0363_03767","CFBP5507_03832","YIC5082_02429","NCPPB2657_03157","GBBC3283_01051"
"g002400_000001","g002400",NA,"hypothetical protein",60,19,311,1,1,2,0,1,0,1,312,"hypothetical protein(312)","NA(312)",144,1080,922,7,5,"AGR1_1_03630","CFBP5506_00548","Hayward0363_03768","CFBP5507_03833","YIC5082_02428","NCPPB2657_03156","GBBC3283_01050"
"g000087_000001","g000087","gltX","Glutamate--tRNA ligase",60,87,311,1,1,1,0,0,0,0,311,"Glutamate--tRNA ligase(289):Glutamate--tRNA ligase 1(22)","gltX(289):gltX1(22)",846,930,889.77,7,6,"AGR1_1_03629","CFBP5506_00547","Hayward0363_03769","CFBP5507_03834","YIC5082_02427","NCPPB2657_03155","GBBC3283_01049"
"g000392","g000392","alkA","DNA-3-methyladenine glycosylase",50,59,311,1,1,1,0,0,0,0,311,"DNA-3-methyladenine glycosylase(127):hypothetical protein(93):putative bifunctional transcriptional activator/DNA repair enzyme AlkA(91)","alkA(218):NA(93)",306,678,646.53,7,7,"AGR1_1_03628","CFBP5506_00546","Hayward0363_03770","CFBP5507_03835","YIC5082_02426","NCPPB2657_03154","GBBC3283_01048"
"g004373_000004","g004373",NA,"hypothetical protein",90,16,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",279,582,556.6,7,8,"AGR1_1_03585","CFBP5506_00503","Hayward0363_03813","CFBP5507_03887","YIC5082_02375","NCPPB2657_03103","GBBC3283_00997"
"g001468","g001468","dsbB","Disulfide bond formation protein B",50,36,311,1,1,1,0,0,0,0,311,"Disulfide bond formation protein B(311)","dsbB(311)",510,519,514.75,7,9,"AGR1_1_03584","CFBP5506_00502","Hayward0363_03814","CFBP5507_03888","YIC5082_02374","NCPPB2657_03102","GBBC3283_00996"
"g002130_1_000008","g002130_1","fpr","Flavodoxin/ferredoxin--NADP reductase",80,24,311,1,1,1,0,0,0,0,311,"Flavodoxin/ferredoxin--NADP reductase(311)","fpr(311)",624,813,812.39,8,1,"AGR1_1_01277","CFBP5506_01923","Hayward0363_01043","CFBP5507_02043","YIC5082_03666","NCPPB2657_01195","GBBC3283_01272"
"g000572_000001","g000572",NA,"hypothetical protein",60,53,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",507,558,509.43,8,2,"AGR1_1_01278","CFBP5506_01924","Hayward0363_01044","CFBP5507_02042","YIC5082_03667","NCPPB2657_01194","GBBC3283_01271"
"g003317_1_000004","g003317_1","sir","Sulfite reductase [ferredoxin]",80,18,311,1,1,1,2,0,2,0,311,"Sulfite reductase [ferredoxin](310):hypothetical protein(3)","sir(310):NA(3)",666,1680,1661.85,8,3,"AGR1_1_01279","CFBP5506_01925","Hayward0363_01045","CFBP5507_02041","YIC5082_03668","NCPPB2657_01193","GBBC3283_01270"
"g002476_000001","g002476",NA,"hypothetical protein",60,29,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",315,315,315,8,4,"AGR1_1_01280","CFBP5506_01926","Hayward0363_01046","CFBP5507_02040","YIC5082_03669","NCPPB2657_01192","GBBC3283_01269"
