"allele_name","gene_family","consensus_gene_name","consensus_product","threshold","alleles_at_maximum_threshold","number_genomes","average_dose","min_dose","max_dose","genomes_containing_fissions","genomes_containing_duplications","number_fission_loci","number_duplicated_loci","no_loci","products","gene_names","min_length.bp.","max_length.bp.","average_length.bp.","cluster","cluster_order","DSM25558","DSM25559","B203","SBV_31","SBV_32","SBV33","NCPPB1650"
"g004421_000003","g004421","rplR","50S ribosomal protein L18",80,18,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L18(311)","rplR(311)",363,363,363,1,11,"DSM25558_00231","DSM25559_00046","B203_00594","SBV_31_01410","SBV_32_01432","SBV33_01387","NCPPB1650_03846"
"g006934_000005","g006934","rpsE","30S ribosomal protein S5",95,10,311,1,1,1,0,0,0,0,311,"30S ribosomal protein S5(311)","rpsE(311)",570,570,570,1,12,"DSM25558_00230","DSM25559_00047","B203_00595","SBV_31_01411","SBV_32_01433","SBV33_01388","NCPPB1650_03847"
"g007728_000003","g007728","rpmD","50S ribosomal protein L30",80,9,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L30(311)","rpmD(311)",204,213,208.13,1,13,"DSM25558_00229","DSM25559_00048","B203_00596","SBV_31_01412","SBV_32_01434","SBV33_01389","NCPPB1650_03848"
"g004378_000003","g004378","rplO","50S ribosomal protein L15",80,18,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L15(311)","rplO(311)",471,486,477.75,1,14,"DSM25558_00228","DSM25559_00049","B203_00597","SBV_31_01413","SBV_32_01435","SBV33_01390","NCPPB1650_03849"
"g004743_000004","g004743","secY","Protein translocase subunit SecY",90,15,311,1,1,1,0,0,0,0,311,"Protein translocase subunit SecY(311)","secY(311)",1341,1461,1342.51,1,15,"DSM25558_00227","DSM25559_00050","B203_00598","SBV_31_01414","SBV_32_01436","SBV33_01391","NCPPB1650_03850"
"g002258_000003","g002258","rsmH","Ribosomal RNA small subunit methyltransferase H",80,30,311,1,1,1,0,0,0,0,311,"Ribosomal RNA small subunit methyltransferase H(311)","rsmH(311)",684,1026,1024.9,2,1,"DSM25558_03801","DSM25559_04082","B203_01347","SBV_31_02827","SBV_32_03222","SBV33_03189","NCPPB1650_02536"
"g002894","g002894",NA,"hypothetical protein",50,26,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",384,567,532.21,2,2,"DSM25558_03800","DSM25559_04081","B203_01346","SBV_31_02828","SBV_32_03221","SBV33_03188","NCPPB1650_02537"
"g000328_1_000007","g000328_1","ftsI","putative peptidoglycan D%2CD-transpeptidase FtsI",70,22,311,1,1,2,0,1,0,1,312,"putative peptidoglycan D%2CD-transpeptidase FtsI(311):hypothetical protein(1)","ftsI(311):NA(1)",144,1755,1737.09,2,3,"DSM25558_03799","DSM25559_04080","B203_01345","SBV_31_02829","SBV_32_03220","SBV33_03187","NCPPB1650_02538"
"g001168_000002","g001168","murE","UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2%2C6-diaminopimelate ligase",70,40,311,1,1,1,0,0,0,0,311,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2%2C6-diaminopimelate ligase(311)","murE(311)",1302,1470,1463.41,2,4,"DSM25558_03798","DSM25559_04079","B203_01344","SBV_31_02830","SBV_32_03219","SBV33_03186","NCPPB1650_02539"
"g002659_000001","g002659","murF","UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase",60,27,311,1,1,1,0,0,0,0,311,"UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase(311)","murF(311)",1407,1461,1427.05,2,5,"DSM25558_03797","DSM25559_04078","B203_01343","SBV_31_02831","SBV_32_03218","SBV33_03185","NCPPB1650_02540"
"g005745_000003","g005745","mraY","Phospho-N-acetylmuramoyl-pentapeptide-transferase",80,13,311,1,1,1,0,0,0,0,311,"Phospho-N-acetylmuramoyl-pentapeptide-transferase(311)","mraY(311)",1101,1122,1107.58,2,6,"DSM25558_03796","DSM25559_04077","B203_01342","SBV_31_02832","SBV_32_03217","SBV33_03184","NCPPB1650_02541"
"g000775_000002","g000775","murD","UDP-N-acetylmuramoylalanine--D-glutamate ligase",70,47,311,1,1,1,0,0,0,0,311,"UDP-N-acetylmuramoylalanine--D-glutamate ligase(311)","murD(311)",1407,1596,1418.61,2,7,"DSM25558_03795","DSM25559_04076","B203_01341","SBV_31_02833","SBV_32_03216","SBV33_03183","NCPPB1650_02542"
"g005025_1_000003","g005025_1","ftsW","putative peptidoglycan glycosyltransferase FtsW",70,14,311,1,1,1,0,0,0,0,311,"putative peptidoglycan glycosyltransferase FtsW(311)","ftsW(311)",465,1158,1152.79,2,8,"DSM25558_03794","DSM25559_04075","B203_01340","SBV_31_02834","SBV_32_03215","SBV33_03182","NCPPB1650_02543"
"g001766_000002","g001766","murG","UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase",70,32,311,1,1,1,1,0,1,0,311,"UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase(312)","murG(312)",312,1140,1127.62,2,9,"DSM25558_03793","DSM25559_04074","B203_01339","SBV_31_02835","SBV_32_03214","SBV33_03181","NCPPB1650_02544"
"g004519_000003","g004519","murC","UDP-N-acetylmuramate--L-alanine ligase",80,15,311,1,1,1,0,0,0,0,311,"UDP-N-acetylmuramate--L-alanine ligase(311)","murC(311)",1389,1446,1416.02,2,10,"DSM25558_03792","DSM25559_04073","B203_01338","SBV_31_02836","SBV_32_03213","SBV33_03180","NCPPB1650_02545"
"g003732_000003","g003732","murB","UDP-N-acetylenolpyruvoylglucosamine reductase",80,19,311,1,1,1,0,0,0,0,311,"UDP-N-acetylenolpyruvoylglucosamine reductase(311)","murB(311)",966,975,969.94,2,11,"DSM25558_03791","DSM25559_04072","B203_01337","SBV_31_02837","SBV_32_03212","SBV33_03179","NCPPB1650_02546"
"g003127_000002","g003127",NA,"hypothetical protein",70,25,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",294,354,297.47,3,1,"DSM25558_05260","DSM25559_00059","B203_00556","SBV_31_01368","SBV_32_01369","SBV33_01365","NCPPB1650_01488"
"g000002_000006","g000002","rpsL","30S ribosomal protein S12",98,1,311,1,1,1,0,0,0,0,311,"30S ribosomal protein S12(311)","rpsL(311)",372,372,372,3,2,"DSM25558_05261","DSM25559_00058","B203_00557","SBV_31_01369","SBV_32_01370","SBV33_01366","NCPPB1650_01487"
"g009525_000004","g009525","rpsG","30S ribosomal protein S7",90,7,311,1,1,1,0,0,0,0,311,"30S ribosomal protein S7(311)","rpsG(311)",393,471,470.75,3,3,"DSM25558_05262","DSM25559_00057","B203_00558","SBV_31_01370","SBV_32_01371","SBV33_01367","NCPPB1650_01486"
"g007880_000004","g007880","fusA","Elongation factor G",90,7,311,1,1,1,0,0,0,0,311,"Elongation factor G(311)","fusA(311)",2100,2100,2100,3,4,"DSM25558_05263","DSM25559_00056","B203_00559","SBV_31_01371","SBV_32_01372","SBV33_01368","NCPPB1650_01485"
"g000001_000006","g000001","rpsJ","30S ribosomal protein S10",98,1,311,1,1,1,0,0,0,0,311,"30S ribosomal protein S10(311)","rpsJ(311)",309,309,309,3,5,"DSM25558_00248","DSM25559_00029","B203_00577","SBV_31_01393","SBV_32_01415","SBV33_01370","NCPPB1650_03829"
"g005427_000003","g005427","rplC","50S ribosomal protein L3",80,13,311,1,1,1,1,0,1,0,311,"50S ribosomal protein L3(312)","rplC(312)",270,642,639.61,3,6,"DSM25558_00247","DSM25559_00030","B203_00578","SBV_31_01394","SBV_32_01416","SBV33_01371","NCPPB1650_03830"
"g006439_000003","g006439","rplD","50S ribosomal protein L4",80,11,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L4(311)","rplD(311)",519,621,620.34,3,7,"DSM25558_00246","DSM25559_00031","B203_00579","SBV_31_01395","SBV_32_01417","SBV33_01372","NCPPB1650_03831"
"g009612_000003","g009612","rplW","50S ribosomal protein L23",80,7,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L23(311)","rplW(311)",294,294,294,3,8,"DSM25558_00245","DSM25559_00032","B203_00580","SBV_31_01396","SBV_32_01418","SBV33_01373","NCPPB1650_03832"
"g007119_000004","g007119","rplB","50S ribosomal protein L2",90,10,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L2(311)","rplB(311)",837,837,837,3,9,"DSM25558_00244","DSM25559_00033","B203_00581","SBV_31_01397","SBV_32_01419","SBV33_01374","NCPPB1650_03833"
"g007797_000004","g007797","rpsS","30S ribosomal protein S19",90,9,311,1,1,1,0,0,0,0,311,"30S ribosomal protein S19(311)","rpsS(311)",279,279,279,3,10,"DSM25558_00243","DSM25559_00034","B203_00582","SBV_31_01398","SBV_32_01420","SBV33_01375","NCPPB1650_03834"
"g000403_000001","g000403","mnmG","tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG",60,57,311,1,1,1,3,0,3,0,311,"tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG(311):Ribosomal RNA small subunit methyltransferase G(3)","mnmG(311):rsmG(3)",618,2508,1871.37,4,1,"DSM25558_04441","DSM25559_01708","B203_04168","SBV_31_04264","SBV_32_04296","SBV33_04265","NCPPB1650_04990"
"g000098","g000098","mnmE","tRNA modification GTPase MnmE",50,84,311,1,1,1,0,0,0,0,311,"tRNA modification GTPase MnmE(311)","mnmE(311)",1146,1338,1326.3,4,2,"DSM25558_04442","DSM25559_01709","B203_04167","SBV_31_04265","SBV_32_04297","SBV33_04266","NCPPB1650_04989"
"g009870_000005","g009870","rho","Transcription termination factor Rho",95,5,311,1,1,1,0,0,0,0,311,"Transcription termination factor Rho(311)","rho(311)",1266,1395,1268.5,4,3,"DSM25558_04443","DSM25559_01710","B203_04166","SBV_31_04266","SBV_32_04298","SBV33_04267","NCPPB1650_04988"
"g000085","g000085","hemE","Uroporphyrinogen decarboxylase",50,86,311,1,1,1,310,0,310,0,311,"Uroporphyrinogen decarboxylase(311):hypothetical protein(310)","hemE(311):NA(310)",483,1575,792.74,4,4,"(DSM25558_04444:DSM25558_04445)","(DSM25559_01711:DSM25559_01712)","(B203_04164:B203_04165)","(SBV_31_04267:SBV_31_04268)","(SBV_32_04299:SBV_32_04300)","(SBV33_04268:SBV33_04269)","(NCPPB1650_04986:NCPPB1650_04987)"
"g003786_000002","g003786","yqfL","Putative pyruvate%2C phosphate dikinase regulatory protein",70,21,311,1,1,1,0,0,0,0,311,"Putative pyruvate%2C phosphate dikinase regulatory protein(311)","yqfL(311)",663,885,812.38,4,5,"DSM25558_04446","DSM25559_05396","B203_04163","SBV_31_04269","SBV_32_04301","SBV33_04270","NCPPB1650_04985"
"g000157","g000157","maf","Septum formation protein Maf",50,59,311,1,1,1,0,0,0,0,311,"Septum formation protein Maf(176):Maf-like protein YceF(133):Maf-like protein YhdE(2)","maf(176):yceF(133):yhdE(2)",600,600,600,4,6,"DSM25558_04447","DSM25559_05395","B203_04162","SBV_31_04270","SBV_32_04302","SBV33_04271","NCPPB1650_04984"
"g000297_000001","g000297","aroE","Shikimate dehydrogenase (NADP(+))",60,64,311,1,1,1,0,0,0,0,311,"Shikimate dehydrogenase (NADP(+))(311)","aroE(311)",858,864,861.1,4,7,"DSM25558_04448","DSM25559_05394","B203_04161","SBV_31_04271","SBV_32_04303","SBV33_04272","NCPPB1650_04983"
"g000165","g000165","coaE","Dephospho-CoA kinase",50,74,311,1,1,1,0,0,0,0,311,"Dephospho-CoA kinase(311)","coaE(311)",582,618,604.82,4,8,"DSM25558_04449","DSM25559_05393","B203_04160","SBV_31_04272","SBV_32_04304","SBV33_04273","NCPPB1650_04982"
"g001374_000002","g001374","dnaQ","DNA polymerase III subunit epsilon",70,37,311,1,1,1,4,0,4,0,311,"DNA polymerase III subunit epsilon(305):DNA polymerase III PolC-type(10)","dnaQ(305):polC(10)",345,717,695.85,4,9,"DSM25558_04450","DSM25559_05392","B203_04159","SBV_31_04273","SBV_32_04305","SBV33_04274","NCPPB1650_04981"
"g004610_000003","g004610","secB","Protein-export protein SecB",80,17,311,1,1,1,0,0,0,0,311,"Protein-export protein SecB(311)","secB(311)",462,483,478.8,4,10,"DSM25558_04451","DSM25559_05391","B203_04158","SBV_31_04274","SBV_32_04306","SBV33_04275","NCPPB1650_04980"
"g007166_000004","g007166","rplU","50S ribosomal protein L21",90,10,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L21(311)","rplU(311)",315,318,315.79,5,1,"DSM25558_00961","DSM25559_01550","B203_04327","SBV_31_04104","SBV_32_04136","SBV33_04105","NCPPB1650_05150"
"g006207_000003","g006207","rpmA","50S ribosomal protein L27",80,12,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L27(311)","rpmA(311)",270,273,270.49,5,2,"DSM25558_00962","DSM25559_01551","B203_04326","SBV_31_04105","SBV_32_04137","SBV33_04106","NCPPB1650_05149"
"g004851_000002","g004851",NA,"hypothetical protein",70,16,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",633,639,633.85,5,3,"DSM25558_00963","DSM25559_01552","B203_04325","SBV_31_04106","SBV_32_04138","SBV33_04107","NCPPB1650_05148"
"g000458","g000458",NA,"hypothetical protein",50,56,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",570,636,589.56,5,4,"DSM25558_00964","DSM25559_01553","B203_04324","SBV_31_04107","SBV_32_04139","SBV33_04108","NCPPB1650_05147"
"g004323_000003","g004323","cgtA","GTPase Obg/CgtA",80,18,311,1,1,1,0,0,0,0,311,"GTPase Obg/CgtA(311)","cgtA(311)",1065,1140,1089.08,5,5,"DSM25558_00965","DSM25559_01554","B203_04323","SBV_31_04108","SBV_32_04140","SBV33_04109","NCPPB1650_05146"
"g003175_000003","g003175","proB","Glutamate 5-kinase",80,24,311,1,1,1,0,0,0,0,311,"Glutamate 5-kinase(311)","proB(311)",1170,1182,1172.04,5,6,"DSM25558_00966","DSM25559_01555","B203_04322","SBV_31_04109","SBV_32_04141","SBV33_04110","NCPPB1650_05145"
"g000745_000002","g000745","proA","Gamma-glutamyl phosphate reductase",70,48,311,1,1,1,0,0,0,0,311,"Gamma-glutamyl phosphate reductase(311)","proA(311)",1284,1287,1285.69,5,7,"DSM25558_00967","DSM25559_01556","B203_04321","SBV_31_04110","SBV_32_04142","SBV33_04111","NCPPB1650_05144"
"g001901_000002","g001901","nadD","nicotinate-nucleotide adenylyltransferase",70,32,311,1,1,1,0,0,0,0,311,"nicotinate-nucleotide adenylyltransferase(311)","nadD(311)",561,660,614.62,5,8,"DSM25558_00968","DSM25559_01557","B203_04320","SBV_31_04111","SBV_32_04143","SBV33_04112","NCPPB1650_05143"
"g000376","g000376","modA","Molybdate-binding protein ModA",50,60,311,1,1,1,0,0,0,0,311,"Molybdate-binding protein ModA(311)","modA(311)",738,819,797.56,5,9,"DSM25558_00872","DSM25559_01462","B203_00364","SBV_31_04016","SBV_32_04048","SBV33_04017","NCPPB1650_05239"
"g002153_1_000003","g002153_1","modB","Molybdenum transport system permease protein ModB",70,30,311,1,1,1,0,0,0,0,311,"Molybdenum transport system permease protein ModB(311)","modB(311)",693,759,701.92,5,10,"DSM25558_00873","DSM25559_01463","B203_00365","SBV_31_04017","SBV_32_04049","SBV33_04018","NCPPB1650_05238"
"g000925_000003","g000925",NA,"hypothetical protein",80,44,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",1134,1356,1294.04,6,1,"DSM25558_04575","DSM25559_03344","B203_02362","SBV_31_03678","SBV_32_03711","SBV33_03679","NCPPB1650_00555"
"g001036_000003","g001036","hcaB","3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase",80,42,311,1,1,1,1,0,1,0,311,"3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase(310):hypothetical protein(2)","hcaB(310):NA(2)",261,2112,2089.38,6,2,"DSM25558_04577","DSM25559_03346","B203_02364","SBV_31_03680","SBV_32_03713","SBV33_03681","NCPPB1650_00553"
"g003902_000003","g003902","ulaR","HTH-type transcriptional regulator UlaR",80,15,311,1,1,1,1,0,1,0,311,"HTH-type transcriptional regulator UlaR(311):hypothetical protein(1)","ulaR(311):NA(1)",297,831,820.45,6,3,"DSM25558_04578","DSM25559_03347","B203_02365","SBV_31_03681","SBV_32_03714","SBV33_03682","NCPPB1650_00552"
"g004585_000003","g004585","lsrB","Autoinducer 2-binding protein LsrB",80,17,311,1,1,2,0,1,0,1,312,"Autoinducer 2-binding protein LsrB(311):hypothetical protein(1)","lsrB(311):NA(1)",246,1011,1002.01,6,4,"DSM25558_04579","DSM25559_03348","B203_02366","SBV_31_03682","SBV_32_03715","SBV33_03683","NCPPB1650_00551"
"g000355_1_000023","g000355_1","rbsA","Ribose import ATP-binding protein RbsA",80,48,311,1,1,1,3,0,3,0,311,"Ribose import ATP-binding protein RbsA(311):hypothetical protein(3)","rbsA(311):NA(3)",288,1599,1506.69,6,5,"DSM25558_04580","DSM25559_03349","B203_02367","SBV_31_03683","SBV_32_03716","SBV33_03684","NCPPB1650_00550"
"g001785_000002","g001785","rbsC","Ribose import permease protein RbsC",70,34,311,1,1,1,0,0,0,0,311,"Ribose import permease protein RbsC(263):D-allose transport system permease protein AlsC(46):Autoinducer 2 import system permease protein LsrC(2)","rbsC(263):alsC(46):lsrC(2)",993,1008,1002.74,6,6,"DSM25558_04581","DSM25559_03350","B203_02368","SBV_31_03684","SBV_32_03717","SBV33_03685","NCPPB1650_00549"
"g002265_000003","g002265","lsrD","Autoinducer 2 import system permease protein LsrD",80,30,311,1,1,1,1,0,1,0,311,"Autoinducer 2 import system permease protein LsrD(311):hypothetical protein(1)","lsrD(311):NA(1)",309,1017,1008.64,6,7,"DSM25558_04582","DSM25559_03351","B203_02369","SBV_31_03685","SBV_32_03718","SBV33_03686","NCPPB1650_00548"
"g000401_000002","g000401","rhaM","L-rhamnose mutarotase",70,58,311,1,1,1,0,0,0,0,311,"L-rhamnose mutarotase(311)","rhaM(311)",324,327,324.79,6,8,"DSM25558_04583","DSM25559_03352","B203_02370","SBV_31_03686","SBV_32_03719","SBV33_03687","NCPPB1650_00547"
"g000089","g000089","fucK","L-fuculokinase",50,85,311,1,1,2,0,1,0,1,312,"L-fuculokinase(225):Rhamnulokinase(85):hypothetical protein(2)","fucK(225):rhaB(85):NA(2)",267,1425,1385.82,6,9,"DSM25558_04584","DSM25559_03353","B203_02371","SBV_31_03687","SBV_32_03720","SBV33_03688","NCPPB1650_00546"
"g004193_000003","g004193","mmgB","putative 3-hydroxybutyryl-CoA dehydrogenase",80,19,311,1,1,1,0,0,0,0,311,"putative 3-hydroxybutyryl-CoA dehydrogenase(279):3-hydroxybutyryl-CoA dehydrogenase(32)","mmgB(279):hbd(32)",837,885,880.43,7,1,"DSM25558_00539","DSM25559_02738","B203_03277","SBV_31_00572","SBV_32_00571","SBV33_00570","NCPPB1650_04726"
"g000713_000002","g000713","yvqK","Cob(I)yrinic acid a%2Cc-diamide adenosyltransferase",70,49,311,1,1,1,0,0,0,0,311,"Cob(I)yrinic acid a%2Cc-diamide adenosyltransferase(310):Cobalamin adenosyltransferase(1)","NA(309):yvqK(1):cobO(1)",579,594,581.38,7,2,"DSM25558_00535","DSM25559_02734","B203_03273","SBV_31_00568","SBV_32_00567","SBV33_00566","NCPPB1650_04722"
"g004631_000002","g004631",NA,"hypothetical protein",70,17,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",198,204,199.58,7,3,"DSM25558_00534","DSM25559_02733","B203_03272","SBV_31_00567","SBV_32_00566","SBV33_00565","NCPPB1650_04721"
"g001696_000002","g001696","actIII","hypothetical protein",70,34,311,1,1,1,0,0,0,0,311,"hypothetical protein(234):Putative ketoacyl reductase(77)","NA(234):actIII(77)",705,834,833.5,7,4,"DSM25558_00533","DSM25559_02732","B203_03271","SBV_31_00566","SBV_32_00565","SBV33_00564","NCPPB1650_04720"
"g002400_000001","g002400",NA,"hypothetical protein",60,19,311,1,1,2,0,1,0,1,312,"hypothetical protein(312)","NA(312)",144,1080,922,7,5,"DSM25558_00532","DSM25559_02731","B203_03270","SBV_31_00565","SBV_32_00564","SBV33_00563","NCPPB1650_04719"
"g000087_000001","g000087","gltX","Glutamate--tRNA ligase",60,87,311,1,1,1,0,0,0,0,311,"Glutamate--tRNA ligase(289):Glutamate--tRNA ligase 1(22)","gltX(289):gltX1(22)",846,930,889.77,7,6,"DSM25558_00531","DSM25559_02730","B203_03269","SBV_31_00564","SBV_32_00563","SBV33_00562","NCPPB1650_04718"
"g000392","g000392","alkA","DNA-3-methyladenine glycosylase",50,59,311,1,1,1,0,0,0,0,311,"DNA-3-methyladenine glycosylase(127):hypothetical protein(93):putative bifunctional transcriptional activator/DNA repair enzyme AlkA(91)","alkA(218):NA(93)",306,678,646.53,7,7,"DSM25558_00530","DSM25559_02729","B203_03268","SBV_31_00563","SBV_32_00562","SBV33_00561","NCPPB1650_04717"
"g004373_000004","g004373",NA,"hypothetical protein",90,16,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",279,582,556.6,7,8,"DSM25558_00529","DSM25559_02728","B203_03267","SBV_31_00562","SBV_32_00561","SBV33_00560","NCPPB1650_04716"
"g001468","g001468","dsbB","Disulfide bond formation protein B",50,36,311,1,1,1,0,0,0,0,311,"Disulfide bond formation protein B(311)","dsbB(311)",510,519,514.75,7,9,"DSM25558_00528","DSM25559_02727","B203_03266","SBV_31_00561","SBV_32_00560","SBV33_00559","NCPPB1650_04715"
"g002130_1_000008","g002130_1","fpr","Flavodoxin/ferredoxin--NADP reductase",80,24,311,1,1,1,0,0,0,0,311,"Flavodoxin/ferredoxin--NADP reductase(311)","fpr(311)",624,813,812.39,8,1,"DSM25558_02056","DSM25559_00697","B203_00888","SBV_31_05008","SBV_32_04378","SBV33_04688","NCPPB1650_04129"
"g000572_000001","g000572",NA,"hypothetical protein",60,53,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",507,558,509.43,8,2,"DSM25558_02055","DSM25559_00696","B203_00887","SBV_31_05007","SBV_32_04379","SBV33_04689","NCPPB1650_04128"
"g003317_1_000004","g003317_1","sir","Sulfite reductase [ferredoxin]",80,18,311,1,1,1,2,0,2,0,311,"Sulfite reductase [ferredoxin](310):hypothetical protein(3)","sir(310):NA(3)",666,1680,1661.85,8,3,"DSM25558_02054","DSM25559_00695","B203_00886","SBV_31_05006","SBV_32_04380","SBV33_04690","NCPPB1650_04127"
"g002476_000001","g002476",NA,"hypothetical protein",60,29,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",315,315,315,8,4,"DSM25558_02053","DSM25559_00694","B203_00885","SBV_31_05005","SBV_32_04381","SBV33_04691","NCPPB1650_04126"
"g000869_000002","g000869","cysG","Siroheme synthase",70,45,311,1,1,1,1,0,1,0,311,"Siroheme synthase(312)","cysG(312)",282,1593,1451.82,8,5,"DSM25558_02052","DSM25559_00693","B203_00884","SBV_31_05004","SBV_32_04382","SBV33_04692","NCPPB1650_04125"
"g000928_1_000002","g000928_1",NA,"hypothetical protein",70,42,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",588,615,588.17,8,6,"DSM25558_02051","DSM25559_00692","B203_00883","SBV_31_05003","SBV_32_04383","SBV33_04693","NCPPB1650_04124"
"g000801_000002","g000801","mazG","Nucleoside triphosphate pyrophosphohydrolase",70,42,311,1,1,1,0,0,0,0,311,"Nucleoside triphosphate pyrophosphohydrolase(311)","mazG(311)",546,876,841.33,8,7,"DSM25558_02050","DSM25559_00691","B203_00882","SBV_31_05002","SBV_32_04384","SBV33_04694","NCPPB1650_04123"
"g001749_000002","g001749","hflX","GTPase HflX",70,32,311,1,1,1,1,0,1,0,311,"GTPase HflX(310):hypothetical protein(2)","hflX(310):NA(2)",249,1461,1385.03,8,8,"DSM25558_02048","DSM25559_00689","B203_00880","SBV_31_05000","SBV_32_04386","SBV33_04696","NCPPB1650_04121"
"g001211_1_000003","g001211_1","ybhL","Inner membrane protein YbhL",70,28,311,1,1,2,0,1,0,1,312,"Inner membrane protein YbhL(310):hypothetical protein(2)","ybhL(310):NA(2)",126,846,750.32,9,1,"DSM25558_04377","DSM25559_01645","B203_04231","SBV_31_04201","SBV_32_04233","SBV33_04202","NCPPB1650_05053"
