"allele_name","gene_family","consensus_gene_name","consensus_product","threshold","alleles_at_maximum_threshold","number_genomes","average_dose","min_dose","max_dose","genomes_containing_fissions","genomes_containing_duplications","number_fission_loci","number_duplicated_loci","no_loci","products","gene_names","min_length.bp.","max_length.bp.","average_length.bp.","cluster","cluster_order","DE0009","KCJK1736"
"g007166_000004","g007166","rplU","50S ribosomal protein L21",90,10,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L21(311)","rplU(311)",315,318,315.79,5,1,"DE0009_04059","KCJK1736_04797"
"g006207_000003","g006207","rpmA","50S ribosomal protein L27",80,12,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L27(311)","rpmA(311)",270,273,270.49,5,2,"DE0009_04058","KCJK1736_04796"
"g004851_000002","g004851",NA,"hypothetical protein",70,16,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",633,639,633.85,5,3,"DE0009_04057","KCJK1736_04795"
"g000458","g000458",NA,"hypothetical protein",50,56,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",570,636,589.56,5,4,"DE0009_04056","KCJK1736_04794"
"g004323_000003","g004323","cgtA","GTPase Obg/CgtA",80,18,311,1,1,1,0,0,0,0,311,"GTPase Obg/CgtA(311)","cgtA(311)",1065,1140,1089.08,5,5,"DE0009_04055","KCJK1736_04793"
"g003175_000003","g003175","proB","Glutamate 5-kinase",80,24,311,1,1,1,0,0,0,0,311,"Glutamate 5-kinase(311)","proB(311)",1170,1182,1172.04,5,6,"DE0009_04054","KCJK1736_04792"
"g000745_000002","g000745","proA","Gamma-glutamyl phosphate reductase",70,48,311,1,1,1,0,0,0,0,311,"Gamma-glutamyl phosphate reductase(311)","proA(311)",1284,1287,1285.69,5,7,"DE0009_04053","KCJK1736_04791"
"g001901_000002","g001901","nadD","nicotinate-nucleotide adenylyltransferase",70,32,311,1,1,1,0,0,0,0,311,"nicotinate-nucleotide adenylyltransferase(311)","nadD(311)",561,660,614.62,5,8,"DE0009_04052","KCJK1736_04790"
"g000376","g000376","modA","Molybdate-binding protein ModA",50,60,311,1,1,1,0,0,0,0,311,"Molybdate-binding protein ModA(311)","modA(311)",738,819,797.56,5,9,"DE0009_00214","KCJK1736_02186"
"g002153_1_000003","g002153_1","modB","Molybdenum transport system permease protein ModB",70,30,311,1,1,1,0,0,0,0,311,"Molybdenum transport system permease protein ModB(311)","modB(311)",693,759,701.92,5,10,"DE0009_00215","KCJK1736_02185"
"g000925_000003","g000925",NA,"hypothetical protein",80,44,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",1134,1356,1294.04,6,1,"DE0009_02510","KCJK1736_02827"
"g001036_000003","g001036","hcaB","3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase",80,42,311,1,1,1,1,0,1,0,311,"3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase(310):hypothetical protein(2)","hcaB(310):NA(2)",261,2112,2089.38,6,2,"DE0009_02511","KCJK1736_02826"
"g003902_000003","g003902","ulaR","HTH-type transcriptional regulator UlaR",80,15,311,1,1,1,1,0,1,0,311,"HTH-type transcriptional regulator UlaR(311):hypothetical protein(1)","ulaR(311):NA(1)",297,831,820.45,6,3,"DE0009_02512","KCJK1736_02825"
"g004585_000003","g004585","lsrB","Autoinducer 2-binding protein LsrB",80,17,311,1,1,2,0,1,0,1,312,"Autoinducer 2-binding protein LsrB(311):hypothetical protein(1)","lsrB(311):NA(1)",246,1011,1002.01,6,4,"DE0009_02513","KCJK1736_02824"
"g000355_1_000023","g000355_1","rbsA","Ribose import ATP-binding protein RbsA",80,48,311,1,1,1,3,0,3,0,311,"Ribose import ATP-binding protein RbsA(311):hypothetical protein(3)","rbsA(311):NA(3)",288,1599,1506.69,6,5,"DE0009_02514","KCJK1736_02823"
"g001785_000002","g001785","rbsC","Ribose import permease protein RbsC",70,34,311,1,1,1,0,0,0,0,311,"Ribose import permease protein RbsC(263):D-allose transport system permease protein AlsC(46):Autoinducer 2 import system permease protein LsrC(2)","rbsC(263):alsC(46):lsrC(2)",993,1008,1002.74,6,6,"DE0009_02515","KCJK1736_02822"
"g002265_000003","g002265","lsrD","Autoinducer 2 import system permease protein LsrD",80,30,311,1,1,1,1,0,1,0,311,"Autoinducer 2 import system permease protein LsrD(311):hypothetical protein(1)","lsrD(311):NA(1)",309,1017,1008.64,6,7,"DE0009_02516","KCJK1736_02821"
"g000401_000002","g000401","rhaM","L-rhamnose mutarotase",70,58,311,1,1,1,0,0,0,0,311,"L-rhamnose mutarotase(311)","rhaM(311)",324,327,324.79,6,8,"DE0009_02517","KCJK1736_02820"
"g000089","g000089","fucK","L-fuculokinase",50,85,311,1,1,2,0,1,0,1,312,"L-fuculokinase(225):Rhamnulokinase(85):hypothetical protein(2)","fucK(225):rhaB(85):NA(2)",267,1425,1385.82,6,9,"DE0009_02518","KCJK1736_02819"
"g004193_000003","g004193","mmgB","putative 3-hydroxybutyryl-CoA dehydrogenase",80,19,311,1,1,1,0,0,0,0,311,"putative 3-hydroxybutyryl-CoA dehydrogenase(279):3-hydroxybutyryl-CoA dehydrogenase(32)","mmgB(279):hbd(32)",837,885,880.43,7,1,"DE0009_02495","KCJK1736_02842"
"g000713_000002","g000713","yvqK","Cob(I)yrinic acid a%2Cc-diamide adenosyltransferase",70,49,311,1,1,1,0,0,0,0,311,"Cob(I)yrinic acid a%2Cc-diamide adenosyltransferase(310):Cobalamin adenosyltransferase(1)","NA(309):yvqK(1):cobO(1)",579,594,581.38,7,2,"DE0009_02491","KCJK1736_00600"
"g004631_000002","g004631",NA,"hypothetical protein",70,17,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",198,204,199.58,7,3,"DE0009_02490","KCJK1736_00601"
"g001696_000002","g001696","actIII","hypothetical protein",70,34,311,1,1,1,0,0,0,0,311,"hypothetical protein(234):Putative ketoacyl reductase(77)","NA(234):actIII(77)",705,834,833.5,7,4,"DE0009_02489","KCJK1736_00602"
"g002400_000001","g002400",NA,"hypothetical protein",60,19,311,1,1,2,0,1,0,1,312,"hypothetical protein(312)","NA(312)",144,1080,922,7,5,"DE0009_02488","KCJK1736_00603"
"g000087_000001","g000087","gltX","Glutamate--tRNA ligase",60,87,311,1,1,1,0,0,0,0,311,"Glutamate--tRNA ligase(289):Glutamate--tRNA ligase 1(22)","gltX(289):gltX1(22)",846,930,889.77,7,6,"DE0009_02487","KCJK1736_00604"
"g000392","g000392","alkA","DNA-3-methyladenine glycosylase",50,59,311,1,1,1,0,0,0,0,311,"DNA-3-methyladenine glycosylase(127):hypothetical protein(93):putative bifunctional transcriptional activator/DNA repair enzyme AlkA(91)","alkA(218):NA(93)",306,678,646.53,7,7,"DE0009_02486","KCJK1736_00605"
"g004373_000004","g004373",NA,"hypothetical protein",90,16,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",279,582,556.6,7,8,"DE0009_02461","KCJK1736_00630"
"g001468","g001468","dsbB","Disulfide bond formation protein B",50,36,311,1,1,1,0,0,0,0,311,"Disulfide bond formation protein B(311)","dsbB(311)",510,519,514.75,7,9,"DE0009_02460","KCJK1736_00631"
"g002130_1_000008","g002130_1","fpr","Flavodoxin/ferredoxin--NADP reductase",80,24,311,1,1,1,0,0,0,0,311,"Flavodoxin/ferredoxin--NADP reductase(311)","fpr(311)",624,813,812.39,8,1,"DE0009_00910","KCJK1736_00515"
"g000572_000001","g000572",NA,"hypothetical protein",60,53,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",507,558,509.43,8,2,"DE0009_00911","KCJK1736_00516"
"g003317_1_000004","g003317_1","sir","Sulfite reductase [ferredoxin]",80,18,311,1,1,1,2,0,2,0,311,"Sulfite reductase [ferredoxin](310):hypothetical protein(3)","sir(310):NA(3)",666,1680,1661.85,8,3,"DE0009_00912","KCJK1736_00517"
"g002476_000001","g002476",NA,"hypothetical protein",60,29,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",315,315,315,8,4,"DE0009_00913","KCJK1736_00518"
"g000869_000002","g000869","cysG","Siroheme synthase",70,45,311,1,1,1,1,0,1,0,311,"Siroheme synthase(312)","cysG(312)",282,1593,1451.82,8,5,"DE0009_00914","KCJK1736_00519"
"g000928_1_000002","g000928_1",NA,"hypothetical protein",70,42,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",588,615,588.17,8,6,"DE0009_00915","KCJK1736_00520"
"g000801_000002","g000801","mazG","Nucleoside triphosphate pyrophosphohydrolase",70,42,311,1,1,1,0,0,0,0,311,"Nucleoside triphosphate pyrophosphohydrolase(311)","mazG(311)",546,876,841.33,8,7,"DE0009_00916","KCJK1736_00521"
"g001749_000002","g001749","hflX","GTPase HflX",70,32,311,1,1,1,1,0,1,0,311,"GTPase HflX(310):hypothetical protein(2)","hflX(310):NA(2)",249,1461,1385.03,8,8,"DE0009_00917","KCJK1736_00522"
"g001211_1_000003","g001211_1","ybhL","Inner membrane protein YbhL",70,28,311,1,1,2,0,1,0,1,312,"Inner membrane protein YbhL(310):hypothetical protein(2)","ybhL(310):NA(2)",126,846,750.32,9,1,"DE0009_03960","KCJK1736_04698"
"g001607_000002","g001607",NA,"hypothetical protein",70,35,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",2478,2562,2554.6,9,2,"DE0009_03959","KCJK1736_04697"
"g002046_000003","g002046","lolD","Lipoprotein-releasing system ATP-binding protein LolD",80,32,311,1,1,1,0,0,0,0,311,"Lipoprotein-releasing system ATP-binding protein LolD(224):putative ABC transporter ATP-binding protein(87)","lolD(224):NA(87)",711,765,712.25,9,3,"DE0009_03958","KCJK1736_04696"
"g000645_000001","g000645",NA,"Arylesterase",60,51,311,1,1,1,0,0,0,0,311,"Arylesterase(258):hypothetical protein(53)","NA(311)",648,852,670.4,9,4,"DE0009_03957","KCJK1736_04695"
"g002692_000003","g002692","thpR","RNA 2'%2C3'-cyclic phosphodiesterase",80,27,311,1,1,1,0,0,0,0,311,"RNA 2'%2C3'-cyclic phosphodiesterase(311)","thpR(311)",498,597,593.51,9,5,"DE0009_03956","KCJK1736_04694"
"g002182","g002182","phhB","Putative pterin-4-alpha-carbinolamine dehydratase",50,31,311,1,1,1,0,0,0,0,311,"Putative pterin-4-alpha-carbinolamine dehydratase(311)","phhB(311)",303,306,305.48,9,6,"DE0009_03954","KCJK1736_04692"
"g001599_000001","g001599",NA,"hypothetical protein",60,36,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",378,441,393.08,9,7,"DE0009_03953","KCJK1736_04691"
"g003229_1_000001","g003229_1",NA,"hypothetical protein",60,20,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",504,621,535.4,9,8,"DE0009_03952","KCJK1736_04690"
"g006198_000003","g006198","manX","PTS system mannose-specific EIIAB component",80,12,311,1,1,1,0,0,0,0,311,"PTS system mannose-specific EIIAB component(249):hypothetical protein(62)","manX(249):NA(62)",402,402,402,10,1,"DE0009_04138","KCJK1736_04876"
"g003125_000003","g003125","ptsO","Phosphocarrier protein NPr",80,22,311,1,1,1,0,0,0,0,311,"Phosphocarrier protein NPr(174):HPr-like protein Crh(127):hypothetical protein(10)","ptsO(174):crh(127):NA(10)",276,360,276.48,10,2,"DE0009_04137","KCJK1736_04875"
"g004759_000003","g004759","ahcY","Adenosylhomocysteinase",80,16,311,1,1,1,0,0,0,0,311,"Adenosylhomocysteinase(311)","ahcY(311)",1398,1401,1400.97,10,3,"DE0009_04136","KCJK1736_04874"
"g001721_000002","g001721","rcsC","Sensor histidine kinase RcsC",70,33,311,1,1,1,1,0,1,0,311,"Sensor histidine kinase RcsC(309):Sensor protein DivL(2):hypothetical protein(1)","rcsC(309):divL(2):NA(1)",864,2646,2582.24,10,4,"DE0009_04135","KCJK1736_04873"
"g000148","g000148",NA,"hypothetical protein",50,74,311,1,1,1,2,0,2,0,311,"hypothetical protein(313)","NA(313)",186,1530,1502.58,10,5,"DE0009_04134","KCJK1736_04872"
"g000256_000001","g000256","murU","N-acetylmuramate alpha-1-phosphate uridylyltransferase",60,68,311,1,1,1,0,0,0,0,311,"N-acetylmuramate alpha-1-phosphate uridylyltransferase(311)","murU(311)",672,738,733.6,10,6,"DE0009_04133","KCJK1736_04871"
"g000073_000001","g000073","addA","hypothetical protein",60,92,311,1.01,1,3,309,2,310,3,314,"hypothetical protein(313):ATP-dependent helicase/nuclease subunit A(312):RecBCD enzyme subunit RecB(1)","NA(313):addA(312):recB(1)",147,6732,3351.11,10,7,"(DE0009_04131:DE0009_04132)","(KCJK1736_04869:KCJK1736_04870)"
"g000922_000002","g000922","scpB","Segregation and condensation protein B",70,43,311,1,1,1,0,0,0,0,311,"Segregation and condensation protein B(311)","scpB(311)",690,780,731.37,11,1,"DE0009_00628","KCJK1736_00304"
"g003133_000002","g003133","tatA","Sec-independent protein translocase protein TatA",70,25,311,1,1,1,0,0,0,0,311,"Sec-independent protein translocase protein TatA(311)","tatA(311)",204,237,211.57,11,2,"DE0009_00629","KCJK1736_00305"
"g000209_000001","g000209","tatB","Sec-independent protein translocase protein TatB",60,63,311,1,1,1,0,0,0,0,311,"Sec-independent protein translocase protein TatB(311)","tatB(311)",615,981,759.69,11,3,"DE0009_00630","KCJK1736_00306"
"g003299_000002","g003299","tatC","Sec-independent protein translocase protein TatC",70,24,311,1,1,1,0,0,0,0,311,"Sec-independent protein translocase protein TatC(311)","tatC(311)",804,828,812.69,11,4,"DE0009_00631","KCJK1736_00307"
"g002676_000003","g002676","serS","Serine--tRNA ligase",80,27,311,1,1,1,0,0,0,0,311,"Serine--tRNA ligase(311)","serS(311)",1281,1287,1283.98,11,5,"DE0009_00632","KCJK1736_00308"
"g002611_000002","g002611","surE","5'-nucleotidase SurE",70,28,311,1,1,1,0,0,0,0,311,"5'-nucleotidase SurE(311)","surE(311)",765,846,773.11,11,6,"DE0009_00633","KCJK1736_00309"
"g003432_000001","g003432","pcm","Protein-L-isoaspartate O-methyltransferase",60,23,311,1,1,1,0,0,0,0,311,"Protein-L-isoaspartate O-methyltransferase(311)","pcm(311)",351,684,653.12,11,7,"DE0009_00634","KCJK1736_00310"
"g006996_000004","g006996","nusG","Transcription termination/antitermination protein NusG",90,10,311,1,1,1,0,0,0,0,311,"Transcription termination/antitermination protein NusG(311)","nusG(311)",414,531,530.62,12,1,"DE0009_00363","KCJK1736_00056"
"g006189_000004","g006189","rplK","50S ribosomal protein L11",90,12,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L11(311)","rplK(311)",432,432,432,12,2,"DE0009_00362","KCJK1736_00057"
"g005492_000004","g005492","rplA","50S ribosomal protein L1",90,13,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L1(311)","rplA(311)",696,699,696.8,12,3,"DE0009_00361","KCJK1736_00058"
"g005661_000003","g005661","rplJ","50S ribosomal protein L10",80,13,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L10(311)","rplJ(311)",519,591,519.46,12,4,"DE0009_00360","KCJK1736_00059"
"g003819_000004","g003819","rplL","50S ribosomal protein L7/L12",90,21,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L7/L12(311)","rplL(311)",372,384,377.46,12,5,"DE0009_00359","KCJK1736_00060"
"g005877_000004","g005877","rpoB","DNA-directed RNA polymerase subunit beta",90,12,311,1,1,1,0,0,0,0,311,"DNA-directed RNA polymerase subunit beta(311)","rpoB(311)",4131,4143,4139.28,12,6,"DE0009_00358","KCJK1736_00061"
"g006224_000004","g006224","rpoC","DNA-directed RNA polymerase subunit beta'",90,11,311,1,1,1,1,0,1,0,311,"DNA-directed RNA polymerase subunit beta'(312)","rpoC(312)",1143,4215,4181.68,12,7,"DE0009_00357","KCJK1736_00062"
"g001536_000001","g001536","yibF","putative GST-like protein YibF",60,36,311,1,1,1,0,0,0,0,311,"putative GST-like protein YibF(248):hypothetical protein(63)","yibF(248):NA(63)",594,597,596.87,13,1,"DE0009_01213","KCJK1736_04656"
"g002436","g002436",NA,"hypothetical protein",50,29,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",633,663,647.74,13,2,"DE0009_01214","KCJK1736_04657"
