"allele_name","gene_family","consensus_gene_name","consensus_product","threshold","alleles_at_maximum_threshold","number_genomes","average_dose","min_dose","max_dose","genomes_containing_fissions","genomes_containing_duplications","number_fission_loci","number_duplicated_loci","no_loci","products","gene_names","min_length.bp.","max_length.bp.","average_length.bp.","cluster","cluster_order","DE0067","DE0068","ICMP17598","TPD7009","TPD7005","RZME10"
"g002258_000003","g002258","rsmH","Ribosomal RNA small subunit methyltransferase H",80,30,311,1,1,1,0,0,0,0,311,"Ribosomal RNA small subunit methyltransferase H(311)","rsmH(311)",684,1026,1024.9,2,1,"DE0067_02371","DE0068_02370","ICMP17598_02833","TPD7009_00583","TPD7005_00670","RZME10_00002"
"g002894","g002894",NA,"hypothetical protein",50,26,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",384,567,532.21,2,2,"DE0067_02370","DE0068_02369","ICMP17598_02834","TPD7009_00582","TPD7005_00671","RZME10_00001"
"g000328_1_000007","g000328_1","ftsI","putative peptidoglycan D%2CD-transpeptidase FtsI",70,22,311,1,1,2,0,1,0,1,312,"putative peptidoglycan D%2CD-transpeptidase FtsI(311):hypothetical protein(1)","ftsI(311):NA(1)",144,1755,1737.09,2,3,"DE0067_02369","DE0068_02368","ICMP17598_02835","TPD7009_00581","TPD7005_00672","RZME10_01655"
"g001168_000002","g001168","murE","UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2%2C6-diaminopimelate ligase",70,40,311,1,1,1,0,0,0,0,311,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2%2C6-diaminopimelate ligase(311)","murE(311)",1302,1470,1463.41,2,4,"DE0067_02368","DE0068_02367","ICMP17598_02836","TPD7009_00580","TPD7005_00673","RZME10_01656"
"g002659_000001","g002659","murF","UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase",60,27,311,1,1,1,0,0,0,0,311,"UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase(311)","murF(311)",1407,1461,1427.05,2,5,"DE0067_02367","DE0068_02366","ICMP17598_02837","TPD7009_00579","TPD7005_00674","RZME10_01657"
"g005745_000003","g005745","mraY","Phospho-N-acetylmuramoyl-pentapeptide-transferase",80,13,311,1,1,1,0,0,0,0,311,"Phospho-N-acetylmuramoyl-pentapeptide-transferase(311)","mraY(311)",1101,1122,1107.58,2,6,"DE0067_02366","DE0068_02365","ICMP17598_02838","TPD7009_00578","TPD7005_00675","RZME10_01658"
"g000775_000002","g000775","murD","UDP-N-acetylmuramoylalanine--D-glutamate ligase",70,47,311,1,1,1,0,0,0,0,311,"UDP-N-acetylmuramoylalanine--D-glutamate ligase(311)","murD(311)",1407,1596,1418.61,2,7,"DE0067_02365","DE0068_02364","ICMP17598_02839","TPD7009_00577","TPD7005_00676","RZME10_01659"
"g005025_1_000003","g005025_1","ftsW","putative peptidoglycan glycosyltransferase FtsW",70,14,311,1,1,1,0,0,0,0,311,"putative peptidoglycan glycosyltransferase FtsW(311)","ftsW(311)",465,1158,1152.79,2,8,"DE0067_02364","DE0068_02363","ICMP17598_02840","TPD7009_00576","TPD7005_00677","RZME10_01660"
"g001766_000002","g001766","murG","UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase",70,32,311,1,1,1,1,0,1,0,311,"UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase(312)","murG(312)",312,1140,1127.62,2,9,"DE0067_02363","DE0068_02362","ICMP17598_02841","TPD7009_00575","TPD7005_00678","RZME10_01661"
"g004519_000003","g004519","murC","UDP-N-acetylmuramate--L-alanine ligase",80,15,311,1,1,1,0,0,0,0,311,"UDP-N-acetylmuramate--L-alanine ligase(311)","murC(311)",1389,1446,1416.02,2,10,"DE0067_02362","DE0068_02361","ICMP17598_02842","TPD7009_00574","TPD7005_00679","RZME10_01662"
"g003732_000003","g003732","murB","UDP-N-acetylenolpyruvoylglucosamine reductase",80,19,311,1,1,1,0,0,0,0,311,"UDP-N-acetylenolpyruvoylglucosamine reductase(311)","murB(311)",966,975,969.94,2,11,"DE0067_02361","DE0068_02360","ICMP17598_02843","TPD7009_00573","TPD7005_00680","RZME10_01663"
"g003127_000002","g003127",NA,"hypothetical protein",70,25,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",294,354,297.47,3,1,"DE0067_00133","DE0068_00133","ICMP17598_04529","TPD7009_04795","TPD7005_00804","RZME10_04102"
"g000002_000006","g000002","rpsL","30S ribosomal protein S12",98,1,311,1,1,1,0,0,0,0,311,"30S ribosomal protein S12(311)","rpsL(311)",372,372,372,3,2,"DE0067_00134","DE0068_00134","ICMP17598_04528","TPD7009_04794","TPD7005_00805","RZME10_04103"
"g009525_000004","g009525","rpsG","30S ribosomal protein S7",90,7,311,1,1,1,0,0,0,0,311,"30S ribosomal protein S7(311)","rpsG(311)",393,471,470.75,3,3,"DE0067_00135","DE0068_00135","ICMP17598_04527","TPD7009_04793","TPD7005_00806","RZME10_04104"
"g007880_000004","g007880","fusA","Elongation factor G",90,7,311,1,1,1,0,0,0,0,311,"Elongation factor G(311)","fusA(311)",2100,2100,2100,3,4,"DE0067_00136","DE0068_00136","ICMP17598_04526","TPD7009_04792","TPD7005_00807","RZME10_04105"
"g000001_000006","g000001","rpsJ","30S ribosomal protein S10",98,1,311,1,1,1,0,0,0,0,311,"30S ribosomal protein S10(311)","rpsJ(311)",309,309,309,3,5,"DE0067_02298","DE0068_01382","ICMP17598_02216","TPD7009_00461","TPD7005_03102","RZME10_01778"
"g005427_000003","g005427","rplC","50S ribosomal protein L3",80,13,311,1,1,1,1,0,1,0,311,"50S ribosomal protein L3(312)","rplC(312)",270,642,639.61,3,6,"DE0067_02297","DE0068_01383","ICMP17598_02215","TPD7009_00460","TPD7005_03101","RZME10_01779"
"g006439_000003","g006439","rplD","50S ribosomal protein L4",80,11,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L4(311)","rplD(311)",519,621,620.34,3,7,"DE0067_02296","DE0068_01384","ICMP17598_02214","TPD7009_00459","TPD7005_03100","RZME10_01780"
"g009612_000003","g009612","rplW","50S ribosomal protein L23",80,7,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L23(311)","rplW(311)",294,294,294,3,8,"DE0067_02295","DE0068_01385","ICMP17598_02213","TPD7009_00458","TPD7005_03099","RZME10_01781"
"g007119_000004","g007119","rplB","50S ribosomal protein L2",90,10,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L2(311)","rplB(311)",837,837,837,3,9,"DE0067_02294","DE0068_01386","ICMP17598_02212","TPD7009_00457","TPD7005_03098","RZME10_01782"
"g007797_000004","g007797","rpsS","30S ribosomal protein S19",90,9,311,1,1,1,0,0,0,0,311,"30S ribosomal protein S19(311)","rpsS(311)",279,279,279,3,10,"DE0067_02293","DE0068_01387","ICMP17598_02211","TPD7009_00456","TPD7005_03097","RZME10_01783"
"g000403_000001","g000403","mnmG","tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG",60,57,311,1,1,1,3,0,3,0,311,"tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG(311):Ribosomal RNA small subunit methyltransferase G(3)","mnmG(311):rsmG(3)",618,2508,1871.37,4,1,"(DE0067_04295:DE0067_04296)","(DE0068_04295:DE0068_04296)","(ICMP17598_04151:ICMP17598_04152)","TPD7009_02809","TPD7005_03893","RZME10_03637"
"g000098","g000098","mnmE","tRNA modification GTPase MnmE",50,84,311,1,1,1,0,0,0,0,311,"tRNA modification GTPase MnmE(311)","mnmE(311)",1146,1338,1326.3,4,2,"DE0067_04297","DE0068_04297","ICMP17598_04153","TPD7009_02808","TPD7005_03894","RZME10_03636"
"g009870_000005","g009870","rho","Transcription termination factor Rho",95,5,311,1,1,1,0,0,0,0,311,"Transcription termination factor Rho(311)","rho(311)",1266,1395,1268.5,4,3,"DE0067_04298","DE0068_04298","ICMP17598_04154","TPD7009_02807","TPD7005_03895","RZME10_03635"
"g000085","g000085","hemE","Uroporphyrinogen decarboxylase",50,86,311,1,1,1,310,0,310,0,311,"Uroporphyrinogen decarboxylase(311):hypothetical protein(310)","hemE(311):NA(310)",483,1575,792.74,4,4,"(DE0067_04299:DE0067_04300)","(DE0068_04299:DE0068_04300)","(ICMP17598_04155:ICMP17598_04156)","(TPD7009_02805:TPD7009_02806)","(TPD7005_03896:TPD7005_03897)","(RZME10_03633:RZME10_03634)"
"g003786_000002","g003786","yqfL","Putative pyruvate%2C phosphate dikinase regulatory protein",70,21,311,1,1,1,0,0,0,0,311,"Putative pyruvate%2C phosphate dikinase regulatory protein(311)","yqfL(311)",663,885,812.38,4,5,"DE0067_04301","DE0068_04301","ICMP17598_04157","TPD7009_02804","TPD7005_03898","RZME10_03632"
"g000157","g000157","maf","Septum formation protein Maf",50,59,311,1,1,1,0,0,0,0,311,"Septum formation protein Maf(176):Maf-like protein YceF(133):Maf-like protein YhdE(2)","maf(176):yceF(133):yhdE(2)",600,600,600,4,6,"DE0067_04302","DE0068_04302","ICMP17598_04158","TPD7009_02803","TPD7005_03899","RZME10_03631"
"g000297_000001","g000297","aroE","Shikimate dehydrogenase (NADP(+))",60,64,311,1,1,1,0,0,0,0,311,"Shikimate dehydrogenase (NADP(+))(311)","aroE(311)",858,864,861.1,4,7,"DE0067_04303","DE0068_04303","ICMP17598_04159","TPD7009_02802","TPD7005_03900","RZME10_03630"
"g000165","g000165","coaE","Dephospho-CoA kinase",50,74,311,1,1,1,0,0,0,0,311,"Dephospho-CoA kinase(311)","coaE(311)",582,618,604.82,4,8,"DE0067_04304","DE0068_04304","ICMP17598_04160","TPD7009_02801","TPD7005_03901","RZME10_03629"
"g001374_000002","g001374","dnaQ","DNA polymerase III subunit epsilon",70,37,311,1,1,1,4,0,4,0,311,"DNA polymerase III subunit epsilon(305):DNA polymerase III PolC-type(10)","dnaQ(305):polC(10)",345,717,695.85,4,9,"DE0067_04305","DE0068_04305","ICMP17598_04161","TPD7009_02800","TPD7005_03902","RZME10_03628"
"g004610_000003","g004610","secB","Protein-export protein SecB",80,17,311,1,1,1,0,0,0,0,311,"Protein-export protein SecB(311)","secB(311)",462,483,478.8,4,10,"DE0067_04306","DE0068_04306","ICMP17598_04162","TPD7009_02799","TPD7005_03903","RZME10_03627"
"g007166_000004","g007166","rplU","50S ribosomal protein L21",90,10,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L21(311)","rplU(311)",315,318,315.79,5,1,"DE0067_04216","DE0068_04216","ICMP17598_04079","TPD7009_02889","TPD7005_03813","RZME10_03709"
"g006207_000003","g006207","rpmA","50S ribosomal protein L27",80,12,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L27(311)","rpmA(311)",270,273,270.49,5,2,"DE0067_04217","DE0068_04217","ICMP17598_04080","TPD7009_02888","TPD7005_03814","RZME10_03708"
"g004851_000002","g004851",NA,"hypothetical protein",70,16,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",633,639,633.85,5,3,"DE0067_04218","DE0068_04218","ICMP17598_04081","TPD7009_02887","TPD7005_03815","RZME10_03707"
"g000458","g000458",NA,"hypothetical protein",50,56,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",570,636,589.56,5,4,"DE0067_04219","DE0068_04219","ICMP17598_04082","TPD7009_02886","TPD7005_03816","RZME10_03706"
"g004323_000003","g004323","cgtA","GTPase Obg/CgtA",80,18,311,1,1,1,0,0,0,0,311,"GTPase Obg/CgtA(311)","cgtA(311)",1065,1140,1089.08,5,5,"DE0067_04220","DE0068_04220","ICMP17598_04083","TPD7009_02885","TPD7005_03817","RZME10_03705"
"g003175_000003","g003175","proB","Glutamate 5-kinase",80,24,311,1,1,1,0,0,0,0,311,"Glutamate 5-kinase(311)","proB(311)",1170,1182,1172.04,5,6,"DE0067_04221","DE0068_04221","ICMP17598_04084","TPD7009_02884","TPD7005_03818","RZME10_03704"
"g000745_000002","g000745","proA","Gamma-glutamyl phosphate reductase",70,48,311,1,1,1,0,0,0,0,311,"Gamma-glutamyl phosphate reductase(311)","proA(311)",1284,1287,1285.69,5,7,"DE0067_04222","DE0068_04222","ICMP17598_04085","TPD7009_02883","TPD7005_03819","RZME10_03703"
"g001901_000002","g001901","nadD","nicotinate-nucleotide adenylyltransferase",70,32,311,1,1,1,0,0,0,0,311,"nicotinate-nucleotide adenylyltransferase(311)","nadD(311)",561,660,614.62,5,8,"DE0067_04223","DE0068_04223","ICMP17598_04086","TPD7009_02882","TPD7005_03820","RZME10_03702"
"g000376","g000376","modA","Molybdate-binding protein ModA",50,60,311,1,1,1,0,0,0,0,311,"Molybdate-binding protein ModA(311)","modA(311)",738,819,797.56,5,9,"DE0067_04032","DE0068_04032","ICMP17598_03898","TPD7009_03071","TPD7005_03630","RZME10_00770"
"g002153_1_000003","g002153_1","modB","Molybdenum transport system permease protein ModB",70,30,311,1,1,1,0,0,0,0,311,"Molybdenum transport system permease protein ModB(311)","modB(311)",693,759,701.92,5,10,"DE0067_04033","DE0068_04033","ICMP17598_03899","TPD7009_03070","TPD7005_03631","RZME10_00771"
"g000925_000003","g000925",NA,"hypothetical protein",80,44,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",1134,1356,1294.04,6,1,"DE0067_03765","DE0068_03917","ICMP17598_03641","TPD7009_04432","TPD7005_04657","RZME10_01500"
"g001036_000003","g001036","hcaB","3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase",80,42,311,1,1,1,1,0,1,0,311,"3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase(310):hypothetical protein(2)","hcaB(310):NA(2)",261,2112,2089.38,6,2,"DE0067_03764","DE0068_03918","ICMP17598_03640","TPD7009_04431","TPD7005_04656","RZME10_01499"
"g003902_000003","g003902","ulaR","HTH-type transcriptional regulator UlaR",80,15,311,1,1,1,1,0,1,0,311,"HTH-type transcriptional regulator UlaR(311):hypothetical protein(1)","ulaR(311):NA(1)",297,831,820.45,6,3,"DE0067_03763","DE0068_03919","ICMP17598_03639","TPD7009_04430","TPD7005_04655","RZME10_01498"
"g004585_000003","g004585","lsrB","Autoinducer 2-binding protein LsrB",80,17,311,1,1,2,0,1,0,1,312,"Autoinducer 2-binding protein LsrB(311):hypothetical protein(1)","lsrB(311):NA(1)",246,1011,1002.01,6,4,"DE0067_03762","DE0068_03920","ICMP17598_03638","TPD7009_04429","TPD7005_04654","RZME10_01497"
"g000355_1_000023","g000355_1","rbsA","Ribose import ATP-binding protein RbsA",80,48,311,1,1,1,3,0,3,0,311,"Ribose import ATP-binding protein RbsA(311):hypothetical protein(3)","rbsA(311):NA(3)",288,1599,1506.69,6,5,"DE0067_03761","DE0068_03921","ICMP17598_03637","TPD7009_04428","TPD7005_04653","RZME10_01496"
"g001785_000002","g001785","rbsC","Ribose import permease protein RbsC",70,34,311,1,1,1,0,0,0,0,311,"Ribose import permease protein RbsC(263):D-allose transport system permease protein AlsC(46):Autoinducer 2 import system permease protein LsrC(2)","rbsC(263):alsC(46):lsrC(2)",993,1008,1002.74,6,6,"DE0067_03760","DE0068_03922","ICMP17598_03636","TPD7009_04427","TPD7005_04652","RZME10_01495"
"g002265_000003","g002265","lsrD","Autoinducer 2 import system permease protein LsrD",80,30,311,1,1,1,1,0,1,0,311,"Autoinducer 2 import system permease protein LsrD(311):hypothetical protein(1)","lsrD(311):NA(1)",309,1017,1008.64,6,7,"DE0067_03759","DE0068_03923","ICMP17598_03635","TPD7009_04426","TPD7005_04651","RZME10_01494"
"g000401_000002","g000401","rhaM","L-rhamnose mutarotase",70,58,311,1,1,1,0,0,0,0,311,"L-rhamnose mutarotase(311)","rhaM(311)",324,327,324.79,6,8,"DE0067_03758","DE0068_03924","ICMP17598_03634","TPD7009_04425","TPD7005_04650","RZME10_01493"
"g000089","g000089","fucK","L-fuculokinase",50,85,311,1,1,2,0,1,0,1,312,"L-fuculokinase(225):Rhamnulokinase(85):hypothetical protein(2)","fucK(225):rhaB(85):NA(2)",267,1425,1385.82,6,9,"DE0067_03757","DE0068_03925","ICMP17598_03633","TPD7009_04424","TPD7005_04649","RZME10_01492"
"g004193_000003","g004193","mmgB","putative 3-hydroxybutyryl-CoA dehydrogenase",80,19,311,1,1,1,0,0,0,0,311,"putative 3-hydroxybutyryl-CoA dehydrogenase(279):3-hydroxybutyryl-CoA dehydrogenase(32)","mmgB(279):hbd(32)",837,885,880.43,7,1,"DE0067_00767","DE0068_00767","ICMP17598_00617","TPD7009_01541","TPD7005_01261","RZME10_01262"
"g000713_000002","g000713","yvqK","Cob(I)yrinic acid a%2Cc-diamide adenosyltransferase",70,49,311,1,1,1,0,0,0,0,311,"Cob(I)yrinic acid a%2Cc-diamide adenosyltransferase(310):Cobalamin adenosyltransferase(1)","NA(309):yvqK(1):cobO(1)",579,594,581.38,7,2,"DE0067_00763","DE0068_00763","ICMP17598_00621","TPD7009_01537","TPD7005_01257","RZME10_01266"
"g004631_000002","g004631",NA,"hypothetical protein",70,17,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",198,204,199.58,7,3,"DE0067_00762","DE0068_00762","ICMP17598_00622","TPD7009_01536","TPD7005_01256","RZME10_01267"
"g001696_000002","g001696","actIII","hypothetical protein",70,34,311,1,1,1,0,0,0,0,311,"hypothetical protein(234):Putative ketoacyl reductase(77)","NA(234):actIII(77)",705,834,833.5,7,4,"DE0067_00761","DE0068_00761","ICMP17598_00623","TPD7009_01535","TPD7005_01255","RZME10_01268"
"g002400_000001","g002400",NA,"hypothetical protein",60,19,311,1,1,2,0,1,0,1,312,"hypothetical protein(312)","NA(312)",144,1080,922,7,5,"DE0067_00760","DE0068_00760","ICMP17598_00624","TPD7009_01534","TPD7005_01254","RZME10_01269"
"g000087_000001","g000087","gltX","Glutamate--tRNA ligase",60,87,311,1,1,1,0,0,0,0,311,"Glutamate--tRNA ligase(289):Glutamate--tRNA ligase 1(22)","gltX(289):gltX1(22)",846,930,889.77,7,6,"DE0067_00759","DE0068_00759","ICMP17598_00625","TPD7009_01533","TPD7005_01253","RZME10_01270"
"g000392","g000392","alkA","DNA-3-methyladenine glycosylase",50,59,311,1,1,1,0,0,0,0,311,"DNA-3-methyladenine glycosylase(127):hypothetical protein(93):putative bifunctional transcriptional activator/DNA repair enzyme AlkA(91)","alkA(218):NA(93)",306,678,646.53,7,7,"DE0067_00758","DE0068_00758","ICMP17598_00626","TPD7009_01532","TPD7005_01252","RZME10_01271"
"g004373_000004","g004373",NA,"hypothetical protein",90,16,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",279,582,556.6,7,8,"DE0067_00757","DE0068_00757","ICMP17598_00627","TPD7009_01531","TPD7005_01251","RZME10_01272"
"g001468","g001468","dsbB","Disulfide bond formation protein B",50,36,311,1,1,1,0,0,0,0,311,"Disulfide bond formation protein B(311)","dsbB(311)",510,519,514.75,7,9,"DE0067_00756","DE0068_00756","ICMP17598_00628","TPD7009_01530","TPD7005_01250","RZME10_01273"
"g002130_1_000008","g002130_1","fpr","Flavodoxin/ferredoxin--NADP reductase",80,24,311,1,1,1,0,0,0,0,311,"Flavodoxin/ferredoxin--NADP reductase(311)","fpr(311)",624,813,812.39,8,1,"DE0067_02029","DE0068_01651","ICMP17598_01951","TPD7009_00193","TPD7005_02834","RZME10_02040"
"g000572_000001","g000572",NA,"hypothetical protein",60,53,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",507,558,509.43,8,2,"DE0067_02028","DE0068_01652","ICMP17598_01950","TPD7009_00192","TPD7005_02833","RZME10_02041"
"g003317_1_000004","g003317_1","sir","Sulfite reductase [ferredoxin]",80,18,311,1,1,1,2,0,2,0,311,"Sulfite reductase [ferredoxin](310):hypothetical protein(3)","sir(310):NA(3)",666,1680,1661.85,8,3,"DE0067_02027","DE0068_01653","ICMP17598_01949","TPD7009_00191","TPD7005_02832","RZME10_02042"
"g002476_000001","g002476",NA,"hypothetical protein",60,29,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",315,315,315,8,4,"DE0067_02026","DE0068_01654","ICMP17598_01948","TPD7009_00190","TPD7005_02831","RZME10_02043"
"g000869_000002","g000869","cysG","Siroheme synthase",70,45,311,1,1,1,1,0,1,0,311,"Siroheme synthase(312)","cysG(312)",282,1593,1451.82,8,5,"DE0067_02025","DE0068_01655","ICMP17598_01947","TPD7009_00189","TPD7005_02830","RZME10_02044"
"g000928_1_000002","g000928_1",NA,"hypothetical protein",70,42,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",588,615,588.17,8,6,"DE0067_02024","DE0068_01656","ICMP17598_01946","TPD7009_00188","TPD7005_02829","RZME10_02045"
"g000801_000002","g000801","mazG","Nucleoside triphosphate pyrophosphohydrolase",70,42,311,1,1,1,0,0,0,0,311,"Nucleoside triphosphate pyrophosphohydrolase(311)","mazG(311)",546,876,841.33,8,7,"DE0067_02023","DE0068_01657","ICMP17598_01945","TPD7009_00187","TPD7005_02828","RZME10_02046"
"g001749_000002","g001749","hflX","GTPase HflX",70,32,311,1,1,1,1,0,1,0,311,"GTPase HflX(310):hypothetical protein(2)","hflX(310):NA(2)",249,1461,1385.03,8,8,"DE0067_02021","DE0068_01659","ICMP17598_01943","TPD7009_00185","TPD7005_02826","RZME10_02048"
"g001211_1_000003","g001211_1","ybhL","Inner membrane protein YbhL",70,28,311,1,1,2,0,1,0,1,312,"Inner membrane protein YbhL(310):hypothetical protein(2)","ybhL(310):NA(2)",126,846,750.32,9,1,"DE0067_04140","DE0068_04140","ICMP17598_04005","TPD7009_02963","TPD7005_03739","RZME10_00880"
"g001607_000002","g001607",NA,"hypothetical protein",70,35,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",2478,2562,2554.6,9,2,"DE0067_04139","DE0068_04139","ICMP17598_04004","TPD7009_02964","TPD7005_03738","RZME10_00879"
"g002046_000003","g002046","lolD","Lipoprotein-releasing system ATP-binding protein LolD",80,32,311,1,1,1,0,0,0,0,311,"Lipoprotein-releasing system ATP-binding protein LolD(224):putative ABC transporter ATP-binding protein(87)","lolD(224):NA(87)",711,765,712.25,9,3,"DE0067_04138","DE0068_04138","ICMP17598_04003","TPD7009_02965","TPD7005_03737","RZME10_00878"
"g000645_000001","g000645",NA,"Arylesterase",60,51,311,1,1,1,0,0,0,0,311,"Arylesterase(258):hypothetical protein(53)","NA(311)",648,852,670.4,9,4,"DE0067_04137","DE0068_04137","ICMP17598_04002","TPD7009_02966","TPD7005_03736","RZME10_00877"
"g002692_000003","g002692","thpR","RNA 2'%2C3'-cyclic phosphodiesterase",80,27,311,1,1,1,0,0,0,0,311,"RNA 2'%2C3'-cyclic phosphodiesterase(311)","thpR(311)",498,597,593.51,9,5,"DE0067_04136","DE0068_04136","ICMP17598_04001","TPD7009_02967","TPD7005_03735","RZME10_00876"
