"allele_name","gene_family","consensus_gene_name","consensus_product","threshold","alleles_at_maximum_threshold","number_genomes","average_dose","min_dose","max_dose","genomes_containing_fissions","genomes_containing_duplications","number_fission_loci","number_duplicated_loci","no_loci","products","gene_names","min_length.bp.","max_length.bp.","average_length.bp.","cluster","cluster_order","CFBP5877","CFBP5499","NCPPB925"
"g001036_000003","g001036","hcaB","3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase",80,42,311,1,1,1,1,0,1,0,311,"3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase(310):hypothetical protein(2)","hcaB(310):NA(2)",261,2112,2089.38,6,2,"CFBP5877_03424","CFBP5499_03525","NCPPB925_04351"
"g003902_000003","g003902","ulaR","HTH-type transcriptional regulator UlaR",80,15,311,1,1,1,1,0,1,0,311,"HTH-type transcriptional regulator UlaR(311):hypothetical protein(1)","ulaR(311):NA(1)",297,831,820.45,6,3,"CFBP5877_03425","CFBP5499_03526","NCPPB925_04350"
"g004585_000003","g004585","lsrB","Autoinducer 2-binding protein LsrB",80,17,311,1,1,2,0,1,0,1,312,"Autoinducer 2-binding protein LsrB(311):hypothetical protein(1)","lsrB(311):NA(1)",246,1011,1002.01,6,4,"CFBP5877_03426","CFBP5499_03527","NCPPB925_04349"
"g000355_1_000023","g000355_1","rbsA","Ribose import ATP-binding protein RbsA",80,48,311,1,1,1,3,0,3,0,311,"Ribose import ATP-binding protein RbsA(311):hypothetical protein(3)","rbsA(311):NA(3)",288,1599,1506.69,6,5,"CFBP5877_03427","CFBP5499_03528","NCPPB925_04348"
"g001785_000002","g001785","rbsC","Ribose import permease protein RbsC",70,34,311,1,1,1,0,0,0,0,311,"Ribose import permease protein RbsC(263):D-allose transport system permease protein AlsC(46):Autoinducer 2 import system permease protein LsrC(2)","rbsC(263):alsC(46):lsrC(2)",993,1008,1002.74,6,6,"CFBP5877_03428","CFBP5499_03529","NCPPB925_04347"
"g002265_000003","g002265","lsrD","Autoinducer 2 import system permease protein LsrD",80,30,311,1,1,1,1,0,1,0,311,"Autoinducer 2 import system permease protein LsrD(311):hypothetical protein(1)","lsrD(311):NA(1)",309,1017,1008.64,6,7,"CFBP5877_03429","CFBP5499_03530","NCPPB925_04346"
"g000401_000002","g000401","rhaM","L-rhamnose mutarotase",70,58,311,1,1,1,0,0,0,0,311,"L-rhamnose mutarotase(311)","rhaM(311)",324,327,324.79,6,8,"CFBP5877_03430","CFBP5499_03531","NCPPB925_04345"
"g000089","g000089","fucK","L-fuculokinase",50,85,311,1,1,2,0,1,0,1,312,"L-fuculokinase(225):Rhamnulokinase(85):hypothetical protein(2)","fucK(225):rhaB(85):NA(2)",267,1425,1385.82,6,9,"CFBP5877_03431","CFBP5499_03532","NCPPB925_04344"
"g004193_000003","g004193","mmgB","putative 3-hydroxybutyryl-CoA dehydrogenase",80,19,311,1,1,1,0,0,0,0,311,"putative 3-hydroxybutyryl-CoA dehydrogenase(279):3-hydroxybutyryl-CoA dehydrogenase(32)","mmgB(279):hbd(32)",837,885,880.43,7,1,"CFBP5877_03533","CFBP5499_03634","NCPPB925_04242"
"g000713_000002","g000713","yvqK","Cob(I)yrinic acid a%2Cc-diamide adenosyltransferase",70,49,311,1,1,1,0,0,0,0,311,"Cob(I)yrinic acid a%2Cc-diamide adenosyltransferase(310):Cobalamin adenosyltransferase(1)","NA(309):yvqK(1):cobO(1)",579,594,581.38,7,2,"CFBP5877_03529","CFBP5499_03630","NCPPB925_04246"
"g004631_000002","g004631",NA,"hypothetical protein",70,17,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",198,204,199.58,7,3,"CFBP5877_03528","CFBP5499_03629","NCPPB925_04247"
"g001696_000002","g001696","actIII","hypothetical protein",70,34,311,1,1,1,0,0,0,0,311,"hypothetical protein(234):Putative ketoacyl reductase(77)","NA(234):actIII(77)",705,834,833.5,7,4,"CFBP5877_03527","CFBP5499_03628","NCPPB925_04248"
"g002400_000001","g002400",NA,"hypothetical protein",60,19,311,1,1,2,0,1,0,1,312,"hypothetical protein(312)","NA(312)",144,1080,922,7,5,"CFBP5877_03526","CFBP5499_03627","NCPPB925_04249"
"g000087_000001","g000087","gltX","Glutamate--tRNA ligase",60,87,311,1,1,1,0,0,0,0,311,"Glutamate--tRNA ligase(289):Glutamate--tRNA ligase 1(22)","gltX(289):gltX1(22)",846,930,889.77,7,6,"CFBP5877_03525","CFBP5499_03626","NCPPB925_04250"
"g000392","g000392","alkA","DNA-3-methyladenine glycosylase",50,59,311,1,1,1,0,0,0,0,311,"DNA-3-methyladenine glycosylase(127):hypothetical protein(93):putative bifunctional transcriptional activator/DNA repair enzyme AlkA(91)","alkA(218):NA(93)",306,678,646.53,7,7,"CFBP5877_03524","CFBP5499_03625","NCPPB925_04251"
"g004373_000004","g004373",NA,"hypothetical protein",90,16,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",279,582,556.6,7,8,"CFBP5877_03475","CFBP5499_03576","NCPPB925_04300"
"g001468","g001468","dsbB","Disulfide bond formation protein B",50,36,311,1,1,1,0,0,0,0,311,"Disulfide bond formation protein B(311)","dsbB(311)",510,519,514.75,7,9,"CFBP5877_03474","CFBP5499_03575","NCPPB925_04301"
"g002130_1_000008","g002130_1","fpr","Flavodoxin/ferredoxin--NADP reductase",80,24,311,1,1,1,0,0,0,0,311,"Flavodoxin/ferredoxin--NADP reductase(311)","fpr(311)",624,813,812.39,8,1,"CFBP5877_01152","CFBP5499_01245","NCPPB925_01071"
"g000572_000001","g000572",NA,"hypothetical protein",60,53,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",507,558,509.43,8,2,"CFBP5877_01151","CFBP5499_01244","NCPPB925_01072"
"g003317_1_000004","g003317_1","sir","Sulfite reductase [ferredoxin]",80,18,311,1,1,1,2,0,2,0,311,"Sulfite reductase [ferredoxin](310):hypothetical protein(3)","sir(310):NA(3)",666,1680,1661.85,8,3,"CFBP5877_01150","CFBP5499_01243","(NCPPB925_01073:NCPPB925_01074)"
"g002476_000001","g002476",NA,"hypothetical protein",60,29,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",315,315,315,8,4,"CFBP5877_01149","CFBP5499_01242","NCPPB925_01075"
"g000869_000002","g000869","cysG","Siroheme synthase",70,45,311,1,1,1,1,0,1,0,311,"Siroheme synthase(312)","cysG(312)",282,1593,1451.82,8,5,"CFBP5877_01148","CFBP5499_01241","NCPPB925_01076"
"g000928_1_000002","g000928_1",NA,"hypothetical protein",70,42,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",588,615,588.17,8,6,"CFBP5877_01147","CFBP5499_01240","NCPPB925_01077"
"g000801_000002","g000801","mazG","Nucleoside triphosphate pyrophosphohydrolase",70,42,311,1,1,1,0,0,0,0,311,"Nucleoside triphosphate pyrophosphohydrolase(311)","mazG(311)",546,876,841.33,8,7,"CFBP5877_01146","CFBP5499_01239","NCPPB925_01078"
"g001749_000002","g001749","hflX","GTPase HflX",70,32,311,1,1,1,1,0,1,0,311,"GTPase HflX(310):hypothetical protein(2)","hflX(310):NA(2)",249,1461,1385.03,8,8,"CFBP5877_01145","CFBP5499_01238","NCPPB925_01079"
"g001211_1_000003","g001211_1","ybhL","Inner membrane protein YbhL",70,28,311,1,1,2,0,1,0,1,312,"Inner membrane protein YbhL(310):hypothetical protein(2)","ybhL(310):NA(2)",126,846,750.32,9,1,"CFBP5877_02347","CFBP5499_02447","NCPPB925_02772"
"g001607_000002","g001607",NA,"hypothetical protein",70,35,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",2478,2562,2554.6,9,2,"CFBP5877_02346","CFBP5499_02446","NCPPB925_02773"
"g002046_000003","g002046","lolD","Lipoprotein-releasing system ATP-binding protein LolD",80,32,311,1,1,1,0,0,0,0,311,"Lipoprotein-releasing system ATP-binding protein LolD(224):putative ABC transporter ATP-binding protein(87)","lolD(224):NA(87)",711,765,712.25,9,3,"CFBP5877_02345","CFBP5499_02445","NCPPB925_02774"
"g000645_000001","g000645",NA,"Arylesterase",60,51,311,1,1,1,0,0,0,0,311,"Arylesterase(258):hypothetical protein(53)","NA(311)",648,852,670.4,9,4,"CFBP5877_02344","CFBP5499_02444","NCPPB925_02775"
"g002692_000003","g002692","thpR","RNA 2'%2C3'-cyclic phosphodiesterase",80,27,311,1,1,1,0,0,0,0,311,"RNA 2'%2C3'-cyclic phosphodiesterase(311)","thpR(311)",498,597,593.51,9,5,"CFBP5877_02343","CFBP5499_02443","NCPPB925_02776"
"g002182","g002182","phhB","Putative pterin-4-alpha-carbinolamine dehydratase",50,31,311,1,1,1,0,0,0,0,311,"Putative pterin-4-alpha-carbinolamine dehydratase(311)","phhB(311)",303,306,305.48,9,6,"CFBP5877_02341","CFBP5499_02441","NCPPB925_02778"
"g001599_000001","g001599",NA,"hypothetical protein",60,36,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",378,441,393.08,9,7,"CFBP5877_02340","CFBP5499_02440","NCPPB925_02779"
"g003229_1_000001","g003229_1",NA,"hypothetical protein",60,20,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",504,621,535.4,9,8,"CFBP5877_02339","CFBP5499_02439","NCPPB925_02780"
"g006198_000003","g006198","manX","PTS system mannose-specific EIIAB component",80,12,311,1,1,1,0,0,0,0,311,"PTS system mannose-specific EIIAB component(249):hypothetical protein(62)","manX(249):NA(62)",402,402,402,10,1,"CFBP5877_02526","CFBP5499_02626","NCPPB925_02590"
"g003125_000003","g003125","ptsO","Phosphocarrier protein NPr",80,22,311,1,1,1,0,0,0,0,311,"Phosphocarrier protein NPr(174):HPr-like protein Crh(127):hypothetical protein(10)","ptsO(174):crh(127):NA(10)",276,360,276.48,10,2,"CFBP5877_02525","CFBP5499_02625","NCPPB925_02591"
"g004759_000003","g004759","ahcY","Adenosylhomocysteinase",80,16,311,1,1,1,0,0,0,0,311,"Adenosylhomocysteinase(311)","ahcY(311)",1398,1401,1400.97,10,3,"CFBP5877_02524","CFBP5499_02624","NCPPB925_02592"
"g001721_000002","g001721","rcsC","Sensor histidine kinase RcsC",70,33,311,1,1,1,1,0,1,0,311,"Sensor histidine kinase RcsC(309):Sensor protein DivL(2):hypothetical protein(1)","rcsC(309):divL(2):NA(1)",864,2646,2582.24,10,4,"CFBP5877_02523","CFBP5499_02623","NCPPB925_02593"
"g000148","g000148",NA,"hypothetical protein",50,74,311,1,1,1,2,0,2,0,311,"hypothetical protein(313)","NA(313)",186,1530,1502.58,10,5,"CFBP5877_02522","CFBP5499_02622","NCPPB925_02594"
"g000256_000001","g000256","murU","N-acetylmuramate alpha-1-phosphate uridylyltransferase",60,68,311,1,1,1,0,0,0,0,311,"N-acetylmuramate alpha-1-phosphate uridylyltransferase(311)","murU(311)",672,738,733.6,10,6,"CFBP5877_02521","CFBP5499_02621","NCPPB925_02595"
"g000073_000001","g000073","addA","hypothetical protein",60,92,311,1.01,1,3,309,2,310,3,314,"hypothetical protein(313):ATP-dependent helicase/nuclease subunit A(312):RecBCD enzyme subunit RecB(1)","NA(313):addA(312):recB(1)",147,6732,3351.11,10,7,"(CFBP5877_02519:CFBP5877_02520)","(CFBP5499_02619:CFBP5499_02620)","(NCPPB925_02596:NCPPB925_02597)"
"g000922_000002","g000922","scpB","Segregation and condensation protein B",70,43,311,1,1,1,0,0,0,0,311,"Segregation and condensation protein B(311)","scpB(311)",690,780,731.37,11,1,"CFBP5877_01386","CFBP5499_01486","NCPPB925_00829"
"g003133_000002","g003133","tatA","Sec-independent protein translocase protein TatA",70,25,311,1,1,1,0,0,0,0,311,"Sec-independent protein translocase protein TatA(311)","tatA(311)",204,237,211.57,11,2,"CFBP5877_01385","CFBP5499_01485","NCPPB925_00830"
"g000209_000001","g000209","tatB","Sec-independent protein translocase protein TatB",60,63,311,1,1,1,0,0,0,0,311,"Sec-independent protein translocase protein TatB(311)","tatB(311)",615,981,759.69,11,3,"CFBP5877_01384","CFBP5499_01484","NCPPB925_00831"
"g003299_000002","g003299","tatC","Sec-independent protein translocase protein TatC",70,24,311,1,1,1,0,0,0,0,311,"Sec-independent protein translocase protein TatC(311)","tatC(311)",804,828,812.69,11,4,"CFBP5877_01383","CFBP5499_01483","NCPPB925_00832"
"g002676_000003","g002676","serS","Serine--tRNA ligase",80,27,311,1,1,1,0,0,0,0,311,"Serine--tRNA ligase(311)","serS(311)",1281,1287,1283.98,11,5,"CFBP5877_01382","CFBP5499_01482","NCPPB925_00833"
"g002611_000002","g002611","surE","5'-nucleotidase SurE",70,28,311,1,1,1,0,0,0,0,311,"5'-nucleotidase SurE(311)","surE(311)",765,846,773.11,11,6,"CFBP5877_01381","CFBP5499_01481","NCPPB925_00834"
